OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,flag,poi_id,flowpath_id,nex_id,START_X,START_Y,END_X,END_Y,order_,TopWdth,TopWdthCC,outside
217, ,gl,i,o,1,0,-76.370504095887270,44.267459036905109,LakeOntario216,wrong flowdir,386,wb-4604,nex-4528,-76.347229100800007,44.241404514700001,-76.365364550400002,44.277741367799997,1.000000000000000,6.501268771744960,19.503806315234900,0
218, ,gl,o,i,1,0,-76.380862696756026,44.263136455383176,LakeOntario217,,388,wb-4603,nex-4527,-76.381925325300003,44.264074591600000,-76.356941393499994,44.241407813400002,1.000000000000000,5.673263512246640,17.019790536739901,0
219, ,gl,i,o,1,0,-76.461889640894185,44.250296675351365,LakeOntario218,wrong flowdir,387,wb-4569,tnx-1000000829,-76.462365445100005,44.250247487199999,-76.437318299200001,44.269185703700003,1.000000000000000,6.232422636350820,18.697267909052499,0
220, ,gl,o,i,1,0,-76.410192890989094,44.309587085675503,LakeOntario219,,455,wb-4568,nex-4525,-76.349374866500000,44.318297234900001,-76.425611548099994,44.314297129700002,1.000000000000000,8.613491399528669,25.840474198586001,0
221, ,gl,o,i,1,0,-76.435508275086761,44.328297214644806,LakeOntario220,,451,wb-4567,nex-4524,-76.437889368000000,44.327741652400000,-76.428181326399994,44.325186090099997,1.000000000000000,5.333842874955060,16.001528624865198,0
222, ,gl,o,i,1,0,-76.341688289582862,44.375057783689840,LakeOntario221,,611,wb-4522,nex-4523,-76.321964018100005,44.396186744900000,-76.375215417299998,44.356964153699998,3.000000000000000,19.722912642528499,59.168737927585603,0
223, ,gl,o,i,1,0,-76.401335265809848,44.360075251971352,LakeOntario222,,357,wb-4564,nex-4565,-76.416331821200004,44.374186440199999,-76.392061718299999,44.354853005400003,1.000000000000000,6.610233037994710,19.830699113984100,0
224, ,gl,o,i,1,0,-76.743860924042394,44.200094846000411,LakeOntario223,,560,wb-4575,tnx-1000000813,-76.769389895000003,44.220852499199999,-76.740278961399994,44.193751497800001,2.000000000000000,14.936724213657300,44.810172640971999,0
225, ,gl,i,o,1,0,-76.801267367095249,44.180662029029463,LakeOntario224,wrong flowdir,382,wb-4583,tnx-1000000814,-76.780109423499994,44.178528533500000,-76.812933246900002,44.190296939600003,1.000000000000000,6.670697572356060,20.012092717068199,0
226, ,gl,o,i,1,0,-76.684301957269497,44.219032510641910,LakeOntario225,,444,wb-4586,nex-4585,-76.677020922200001,44.253852463500003,-76.686871728000000,44.216519036299999,1.000000000000000,6.558573652069000,19.675720956207002,0
227, ,gl,o,i,1,0,-76.695069785642033,44.221899447701389,LakeOntario226,,440,wb-4584,nex-4585,-76.715995770399999,44.246185819799997,-76.686871728000000,44.216519036299999,1.000000000000000,8.102105982757610,24.306317948272799,0
228, ,gl,o,i,1,0,-76.612693441149361,44.263741322304213,LakeOntario227,,539,wb-4589,nex-4590,-76.571374805900007,44.292074767000003,-76.615203672299998,44.261963538200000,2.000000000000000,12.447012001399001,37.341036004197100,0
229, ,gl,o,i,1,0,-76.621937244208425,44.264426384470141,LakeOntario228,,533,wb-4594,nex-4590,-76.633049298399996,44.265741357800003,-76.615203672299998,44.261963538200000,2.000000000000000,11.141332828584900,33.423998485754602,0
230, ,gl,o,i,1,0,-76.577799252933119,44.243332999918039,LakeOntario229,,449,wb-4602,nex-4599,-76.569376105700002,44.254185659400001,-76.537825046500004,44.246741139599997,1.000000000000000,7.184121893869920,21.552365681609800,0
231, ,gl,o,i,1,0,-76.500761131221168,44.291698545851261,LakeOntario230,,409,wb-4597,nex-4598,-76.486286817500002,44.299296974400001,-76.532685493100004,44.268741254799998,1.000000000000000,7.994534094748150,23.983602284244402,0
