OID_,start_DomLoc,end_DomLoc,FlowDir,multInt,long,lat,hl_link,hf_id,poi_id,hl_uri,START_X,START_Y,END_X,END_Y,order_,flowpath_id,TopWdth,TopWdthCC
1,o,i,1,0,-153.593799566999991,58.973331001299997,Alaska1,58156.000000000000000,58,coastal-Alaska1,-153.569717728000001,58.937066409499998,-153.595176092999992,58.995066614199999,1.000000000000000,wb-104,7.339261303530030,22.017783910590101
2,o,i,1,1,-153.697448795000014,58.963733151800000,Alaska2,118635.000000000000000,422,coastal-Alaska2,-153.735412638000014,58.954399779399999,-153.690105445999990,58.966844275699998,3.000000000000000,wb-53,20.442798560115900,61.328395680347803
3,o,i,1,0,-153.689904893999994,58.965407653600003,Alaska3,54797.000000000000000,40,coastal-Alaska3,-153.678239252999987,58.929733032900003,-153.690105445999990,58.966844275699998,1.000000000000000,wb-95,7.739479972861070,23.218439918583201
4,o,i,1,0,-153.643389366999997,58.971066520699999,Alaska4,76637.000000000000000,121,coastal-Alaska4,-153.601001266999987,58.931177494499998,-153.649976220000013,58.979510994199998,2.000000000000000,wb-98,10.837662613917400,32.512987841752299
5,o,i,1,0,-154.134780215000006,59.004741962600001,Alaska5,54793.000000000000000,39,coastal-Alaska5,-154.029262195999991,58.973733136600003,-154.161300337000000,59.004844339100003,1.000000000000000,wb-213,8.329954574882411,24.989863724647201
6,o,i,1,0,-154.151871324000012,58.975877166300002,Alaska6,71596.000000000000000,106,coastal-Alaska6,-154.050405535000010,58.939066341900002,-154.171009008999988,58.982510923900001,2.000000000000000,wb-211,9.385788198458769,28.157364595376301
7,o,i,1,0,-154.155181741000007,58.959621954699998,Alaska7,51434.000000000000000,27,coastal-Alaska7,-154.153317613000013,58.959621955400003,-154.170577497000011,58.957955280100002,1.000000000000000,wb-204,5.432331984657280,16.296995953971798
8,o,i,1,0,-153.740087624000012,58.992585313699998,Alaska8,58153.000000000000000,57,coastal-Alaska8,-153.738864629999995,58.981066541499999,-153.740806375000005,58.993622141899998,1.000000000000000,wb-219,5.873428293955230,17.620284881865700
9,o,i,1,0,-153.743787204999990,58.993935056700003,Alaska9,54791.000000000000000,38,coastal-Alaska9,-153.763028479000013,58.996399926199999,-153.740806375000005,58.993622141899998,1.000000000000000,wb-222,5.668912681703640,17.006738045110900
10,o,i,1,0,-153.804128681000009,59.024677756199999,Alaska10,118628.000000000000000,421,coastal-Alaska10,-153.844581457999993,59.033066712100002,-153.779425400000008,59.048622333799997,2.000000000000000,wb-228,11.278952970733100,33.836858912199197
11,o,i,1,1,-151.563059404999990,59.234845573599998,Alaska11,63170.000000000000000,78,coastal-Alaska11,-151.574906650999992,59.250290071599998,-151.545780581000002,59.227067770200001,1.000000000000000,wb-318,6.960790292461060,20.882370877383199
