OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,flag,poi_id,flowpath_id,nex_id,START_X,START_Y,END_X,END_Y,order_,TopWdth,TopWdthCC,outside
371,04,conus,o,i,1,0,-89.286931708931206,46.808721635195354,LakeSuperior371,,5702,wb-654891,nex-654510,-89.271320735600000,46.805925860000002,-89.303729612400005,46.808833324900000,1.000000000000000,4.490019466859460,13.470058400578401,0
372,04,conus,o,i,1,0,-90.382235778858046,46.561132013032022,LakeSuperior372,,11320,wb-647552,nex-647553,-90.366617428400005,46.552735016200003,-90.380196100899994,46.565209950400003,1.000000000000000,3.340713770304140,10.022141310912399,0
373,04,conus,o,i,1,0,-90.279230439033483,46.591440187614637,LakeSuperior373,,67745,wb-647537,nex-647538,-90.264340003300006,46.590398561900003,-90.277802475900003,46.603821829600001,1.000000000000000,4.063009580569390,12.189028741708199,0
374,04,conus,o,i,1,0,-90.206059909337284,46.614076042575334,LakeSuperior374,,11308,wb-647529,tnx-1000000243,-90.225994194500004,46.609220833899997,-90.219952861600007,46.624555169799997,1.000000000000000,3.115555555555560,9.346666666666669,0
375,04,conus,o,i,1,0,-90.192817760930893,46.618229700840061,LakeSuperior375,,11230,wb-647532,tnx-1000000245,-90.191494185300002,46.617240370700003,-90.201762657700002,46.635556439299997,1.000000000000000,3.528960711184860,10.586882133554600,0
376,04,conus,o,i,1,0,-90.182944078106686,46.621183371215636,LakeSuperior376,,11939,wb-647530,tnx-1000000247,-90.183241049900005,46.619826038299998,-90.192445788599997,46.637869173600002,1.000000000000000,3.173114203742710,9.519342611228140,0
377,04,conus,o,i,1,0,-90.173878927170733,46.623796670679837,LakeSuperior377,,11205,wb-647526,tnx-1000000251,-90.171540847200006,46.624993839900000,-90.181204385599997,46.640433241399997,1.000000000000000,3.115555555555560,9.346666666666669,0
378,04,conus,o,i,1,0,-90.151580228944397,46.628419194090611,LakeSuperior378,,11114,wb-647518,tnx-1000000255,-90.158707843200006,46.623969640600002,-90.160574446400005,46.642267976399999,1.000000000000000,3.115555555555560,9.346666666666669,0
379,04,conus,o,i,1,0,-90.134654099507031,46.630136833548079,LakeSuperior379,,11202,wb-647510,nex-647511,-90.133607235699998,46.624544175700002,-90.117060031600005,46.630117444299998,1.000000000000000,3.115555555555560,9.346666666666669,0
38,04,conus,o,i,1,0,-90.993572283334174,46.600903804766801,LakeSuperior38,,65587,wb-645143,nex-645142,-91.050358643199999,46.632030113600003,-90.989039219999995,46.597659979699998,1.000000000000000,5.489127099140950,16.467381297422801,0
380,04,conus,o,i,1,0,-90.037270811198937,46.650998313521427,LakeSuperior380,,67839,wb-647454,nex-647452,-90.046891146999997,46.651606385500003,-90.045959813600007,46.653113252399997,1.000000000000000,3.115555555555560,9.346666666666669,0
381,04,conus,o,i,1,0,-90.017504539103186,46.657654944220326,LakeSuperior381,,67837,wb-647505,nex-647506,-90.025770206600001,46.646220386200000,-90.030923609699997,46.657509854099999,1.000000000000000,3.753826072540050,11.261478217620200,0
382,04,conus,o,i,1,0,-90.013096244096346,46.659458172156974,LakeSuperior382,,11459,wb-647436,nex-647437,-89.995024330899994,46.647752788500000,-90.007737137899994,46.670096457500001,1.000000000000000,4.118285570391690,12.354856711175101,0
383,04,conus,o,i,1,0,-90.008586572112563,46.661466195508581,LakeSuperior383,,11459,wb-647436,nex-647437,-89.995024330899994,46.647752788500000,-90.007737137899994,46.670096457500001,1.000000000000000,4.118285570391690,12.354856711175101,0
384,04,conus,o,i,1,0,-89.985890217059818,46.674087850374065,LakeSuperior384,,67963,wb-647431,nex-647432,-89.979268128499996,46.663988258499998,-89.985124731400006,46.671726392600000,1.000000000000000,3.259960856541820,9.779882569625469,0
385,04,conus,o,i,1,0,-89.905898372811635,46.723766735646393,LakeSuperior385,,68102,wb-647271,nex-647272,-89.908057112899996,46.704310669100003,-89.919354917400000,46.711707402700000,1.000000000000000,3.273739143932700,9.821217431798100,0
386,04,conus,o,i,1,0,-89.872133218673071,46.749218118821204,LakeSuperior386,,11502,wb-647263,nex-647264,-89.873992174500003,46.740115876499999,-89.880906577700003,46.747859210500003,1.000000000000000,3.702092155109530,11.106276465328600,0
387,04,conus,i,o,-1,0,-89.834060500791452,46.779014631320251,LakeSuperior387,,11454,wb-647261,nex-647256,-89.811045756799999,46.748671615399999,-89.821195763600002,46.774428618400002,1.000000000000000,4.845885574440850,14.537656723322501,0
388,04,conus,o,i,1,0,-89.618075435832679,46.797766544590388,LakeSuperior388,,68297,wb-647248,nex-647249,-89.670601922399996,46.803504432700002,-89.618465839400002,46.798785235600000,1.000000000000000,6.283874566587310,18.851623699761902,0
389,04,conus,o,i,1,0,-89.562989207685746,46.811181549888659,LakeSuperior389,,67930,wb-647293,nex-647294,-89.574582626300000,46.799757438699999,-89.570566294299994,46.817912908200000,3.000000000000000,16.695856603345099,50.087569810035198,0
39,04,conus,o,i,1,0,-90.993545997050092,46.579678111056012,LakeSuperior39,,65601,wb-645145,nex-645146,-91.017077093599994,46.588722309799998,-91.000196220800007,46.580985709899998,1.000000000000000,3.115555555555560,9.346666666666669,0
390,04,conus,o,i,1,0,-89.532540513134109,46.812345528923061,LakeSuperior390,,44101,wb-647230,nex-647229,-89.530091013600000,46.804801909100000,-89.532411481699995,46.809921509600002,1.000000000000000,7.914428223715960,23.743284671147901,0
391,04,conus,o,i,1,0,-89.523360896488157,46.815897626174547,LakeSuperior391,,44101,wb-647230,nex-647229,-89.530091013600000,46.804801909100000,-89.532411481699995,46.809921509600002,1.000000000000000,7.914428223715960,23.743284671147901,0
392,04,conus,o,i,1,0,-89.507667743871252,46.815064563478870,LakeSuperior392,,68598,wb-647203,nex-647204,-89.500909071500004,46.805094311100000,-89.497197472500005,46.819730646799997,1.000000000000000,3.275261987007320,9.825785961021960,0
393,04,conus,o,i,1,0,-89.401321143855682,46.821579610310835,LakeSuperior393,,11506,wb-647192,nex-647191,-89.390374566199995,46.768661046600002,-89.397111241800005,46.816915253099999,1.000000000000000,4.315276078269840,12.945828234809500,0
394,04,conus,o,i,1,0,-89.762174935025200,47.928357807366979,LakeSuperior394,,10990,wb-646581,nex-646582,-89.785630861100003,47.945103050999997,-89.746119828399998,47.918534145300001,2.000000000000000,7.422600315562540,22.267800946687601,0
