OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,flag,poi_id,flowpath_id,nex_id,START_X,START_Y,END_X,END_Y,order_,TopWdth,TopWdthCC,outside
1,04,conus,o,i,1,0,-76.185010617745775,44.088967719784478,LakeOntario1,,74902,wb-667970,tnx-1000001536,-76.171644977000000,44.096628802900000,-76.195579516799995,44.080838932500001,2.000000000000000,9.055703346459040,27.167110039377100,0
10,04,conus,o,i,1,0,-76.243835567757230,44.146161583790104,LakeOntario10,,40749,wb-668062,nex-668054,-76.217100530699994,44.166406613200003,-76.239438002399993,44.138559207400000,1.000000000000000,4.397883461024430,13.193650383073299,0
100,04,conus,o,i,1,0,-77.499369347417428,43.247914591785047,LakeOntario100,,74838,wb-674441,tnx-1000001476,-77.464731054100000,43.186392120500003,-77.502496471300006,43.249764730099997,2.000000000000000,7.865896473992830,23.597689421978501,0
101,04,conus,o,i,1,0,-77.535041625470626,43.199978534182037,LakeOntario101,,25945,wb-674503,nex-674504,-77.559222084200002,43.184813582799997,-77.532553543600002,43.200159586700003,1.000000000000000,6.981316747683120,20.943950243049301,0
102,04,conus,o,i,1,0,-77.025006216763472,43.264656790078845,LakeOntario102,,25923,wb-674522,nex-674510,-77.012004115099998,43.261067552999997,-77.024960986500005,43.269198753900000,1.000000000000000,3.746295977115450,11.238887931346300,0
103,04,conus,o,i,1,0,-75.707813287153442,44.462478570329836,LakeOntario103,,25785,wb-678014,nex-678015,-75.698763987899994,44.491069091400000,-75.715065258799996,44.477131021600002,2.000000000000000,11.677159280033001,35.031477840098901,0
104,04,conus,o,i,1,0,-75.654493942641295,44.506455861748691,LakeOntario104,,25402,wb-678019,nex-678020,-75.630780633900002,44.509321230700003,-75.664238178100007,44.509085296000002,1.000000000000000,5.600407787239920,16.801223361719799,0
105,04,conus,o,i,1,0,-75.809060170890120,44.362455252008317,LakeOntario105,,25397,wb-678024,nex-678025,-75.839510220299999,44.321641789399997,-75.816479815799994,44.359821063699997,1.000000000000000,7.607800497907490,22.823401493722500,0
106,04,conus,o,i,1,0,-76.242885950226366,44.168080605335717,LakeOntario106,,25691,wb-678040,nex-678039,-76.220729132200006,44.170656413800003,-76.241431138600007,44.165697545400000,1.000000000000000,3.115555555555560,9.346666666666669,0
107,04,conus,o,i,1,0,-76.226525525832301,44.178687193359337,LakeOntario107,,25695,wb-678041,nex-678042,-76.219049598500007,44.173081547700001,-76.229867936100007,44.182103215500000,1.000000000000000,3.572275168652190,10.716825505956599,0
108,04,conus,o,i,1,0,-76.182598386905966,44.203053254004544,LakeOntario108,,41461,wb-678043,nex-678044,-76.215138395500006,44.151591944099998,-76.185823590300004,44.204384421199997,1.000000000000000,7.653881530834140,22.961644592502399,0
