OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,flag,poi_id,flowpath_id,nex_id,START_X,START_Y,END_X,END_Y,order_,TopWdth,TopWdthCC,outside
1086, ,gl,o,i,1,0,-84.002113203761326,46.424520853754473,LakeMichiganHuron1069,,311,wb-14959,nex-14960,-83.987167443700002,46.419965215100000,-84.008296765500006,46.427298638800004,1.000000000000000,5.649087151188570,16.947261453565702,0
1087, ,gl,o,i,1,0,-83.999767335693946,46.427298652710704,LakeMichiganHuron1070,,304,wb-14961,nex-14960,-83.990022823800004,46.427187498300000,-84.008296765500006,46.427298638800004,1.000000000000000,5.852245543478360,17.556736630435100,0
1088, ,gl,o,i,1,0,-84.041142392007771,46.334639849349628,LakeMichiganHuron1071,,312,wb-14966,nex-14967,-84.051982183299998,46.366631604500000,-84.079963383199996,46.316520326400003,1.000000000000000,9.780931692689860,29.342795078069599,0
1089, ,gl,o,i,1,0,-83.462712487691135,46.268692373054648,LakeMichiganHuron1072,,300,wb-15077,tnx-1000000345,-83.460223409899996,46.281629654900001,-83.480039089599998,46.247207268200000,1.000000000000000,6.801612605478120,20.404837816434402,0
1090, ,gl,o,i,1,0,-83.528457403386426,46.294296411650123,LakeMichiganHuron1073,,292,wb-15075,nex-15004,-83.523753614800000,46.295518628200000,-83.553305648899993,46.280407517699999,1.000000000000000,6.331709772400380,18.995129317201101,0
1091, ,gl,o,i,1,0,-83.581572984905279,46.303434996727788,LakeMichiganHuron1074,,726,wb-15002,nex-15003,-83.630541062600003,46.318963396800001,-83.574006426200000,46.287629810100000,3.000000000000000,23.724110866206701,71.172332598620102,0
1092, ,gl,o,i,1,1,-83.539867425940940,46.307963153376875,LakeMichiganHuron1075,,711,wb-15064,nex-15065,-83.528607758800007,46.339185471599997,-83.551021550599998,46.307629843299999,2.000000000000000,13.537105713374901,40.611317140124598,0
1093, ,gl,o,i,1,0,-83.551708725577214,46.309650596298013,LakeMichiganHuron1076,,248,wb-15073,nex-15065,-83.566582952900006,46.338407779299999,-83.551021550599998,46.307629843299999,1.000000000000000,6.924536342319800,20.773609026959399,0
1094, ,gl,o,i,1,0,-83.862067236813516,46.329046133672193,LakeMichiganHuron1077,,234,wb-15093,nex-15089,-83.813564735100002,46.332741750399997,-83.882519935500000,46.325853080500004,1.000000000000000,6.541795159781140,19.625385479343400,0
1095, ,gl,o,i,1,0,-83.876369515041063,46.364751477099048,LakeMichiganHuron1078,,693,wb-15087,nex-15088,-83.864960334800003,46.369186606400000,-83.881949113100006,46.348742106099998,2.000000000000000,9.380660919516441,28.141982758549300,0
1096, ,gl,o,i,1,0,-83.860464923717245,46.344519776166806,LakeMichiganHuron1079,,225,wb-15092,nex-15088,-83.826270848500002,46.340075173800003,-83.881949113100006,46.348742106099998,1.000000000000000,6.588757203278530,19.766271609835599,0
1097, ,gl,o,i,1,0,-83.927051612941568,46.370195686781585,LakeMichiganHuron1080,,703,wb-15082,nex-15083,-83.928633443400003,46.377520247900001,-83.926063147700006,46.328853262400003,1.000000000000000,9.626248260480841,28.878744781442499,0
1098, ,gl,o,i,1,0,-83.947542364488470,46.354792401847931,LakeMichiganHuron1081,,323,wb-15097,nex-15083,-83.955473085199998,46.367964739000001,-83.926063147700006,46.328853262400003,1.000000000000000,7.090839465923590,21.272518397770799,0
1099, ,gl,o,i,1,0,-83.980016952820051,46.341178061818141,LakeMichiganHuron1082,,317,wb-15098,nex-15099,-84.018575147600004,46.369409380000000,-83.946478392900005,46.321519958300001,1.000000000000000,8.009826726364199,24.029480179092602,0
1100, ,gl,o,i,1,0,-83.617754508563678,46.292345107640642,LakeMichiganHuron1083,,283,wb-15115,tnx-1000000338,-83.688360242100003,46.294185626400001,-83.612267099299999,46.285221971799999,1.000000000000000,7.805578546069510,23.416735638208500,0
1101, ,gl,o,i,1,1,-83.001004619567482,46.259117908164967,LakeMichiganHuron1084,,696,wb-15251,nex-15197,-83.024219380700004,46.273185454100002,-82.956405880199995,46.241963248300003,2.000000000000000,13.838380977022201,41.515142931066599,0
1102, ,gl,o,i,1,0,-82.926198896661731,46.270009305185340,LakeMichiganHuron1085,,724,wb-15195,nex-15196,-82.941986695500006,46.270852168700003,-82.931850299900006,46.244852150200003,3.000000000000000,20.481313679108698,61.443941037326098,0
1103, ,gl,o,i,1,0,-82.890200552313615,46.261852185330156,LakeMichiganHuron1086,,719,wb-15237,nex-15196,-82.883595760600002,46.264741081899999,-82.931850299900006,46.244852150200003,2.000000000000000,14.043765893747301,42.131297681242003,0
1104, ,gl,o,i,1,0,-83.224804300278208,46.294014655851754,LakeMichiganHuron1087,,682,wb-15264,nex-15265,-83.229087292200006,46.307740912900002,-83.130864828100002,46.264407574899998,3.000000000000000,14.850503832104399,44.551511496313097,0
1105, ,gl,o,i,1,0,-82.490991648046077,46.202314034265328,LakeMichiganHuron1088,,249,wb-16518,tnx-1000000361,-82.505268151699994,46.201963356599997,-82.481103614299997,46.191823261499998,1.000000000000000,5.981464165233200,17.944392495699599,0
1106, ,gl,o,i,1,0,-82.357089727908601,46.200185516148679,LakeMichiganHuron1089,,263,wb-16515,tnx-1000000362,-82.364644596900007,46.203185521700000,-82.338661330899996,46.186457165100002,1.000000000000000,6.598063153962440,19.794189461887299,0
1107, ,gl,o,i,1,0,-82.305014837364808,46.201594117074876,LakeMichiganHuron1090,,268,wb-16514,tnx-1000000363,-82.304397751500005,46.202185495099997,-82.298630273300006,46.186252343400000,1.000000000000000,5.457888681578490,16.373666044735501,0
1108, ,gl,o,i,1,1,-82.280133548824153,46.172856715465116,LakeMichiganHuron1091,,236,wb-16513,tnx-1000000364,-82.272989394299998,46.170407672499998,-82.285273505000006,46.181523704500002,1.000000000000000,5.501407996707360,16.504223990122100,0
1109, ,gl,o,i,1,0,-82.108294335215362,46.221348072055946,LakeMichiganHuron1092,,235,wb-16502,nex-15179,-82.116371791199995,46.223523483699999,-82.133793522100007,46.172074239899999,1.000000000000000,6.561654505223410,19.684963515670201,0
1110, ,gl,o,i,1,0,-82.080107651446895,46.170967792030012,LakeMichiganHuron1093,,686,wb-16485,nex-15178,-82.070258668999998,46.181523375700003,-82.093101079099995,46.172301127899999,3.000000000000000,16.256324633349401,48.768973900048103,0
