OID_,long,lat,hl_link,domain,END_X,END_Y,START_X,START_Y,start_DomLoc,end_DomLoc,FlowDir,multInt,flag,poi_id,flowpath_id,order_,TopWdth,TopWdthCC,nex_id
23,-65.531003465037827,18.120826606862465,PRVI23,PRVI,-65.532566703100002,18.124235393999999,-65.530561968900003,18.110623990000001,o,i,1,0,,322,wb-152,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000590
24,-66.979628116344429,17.976226439798381,PRVI24,PRVI,-66.983424614300006,17.971969926100002,-66.978290146199996,17.978978461600001,o,i,1,0,,430,wb-100,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000145
25,-65.701728228874629,18.189629337124245,PRVI25,PRVI,-65.698453355400005,18.186577742899999,-65.702519223400003,18.194691545300000,o,i,1,0,,391,wb-118,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000566
26,-66.335030313697985,17.983503229490509,PRVI26,PRVI,-66.335039948100004,17.983256739600002,-66.336320148599995,17.988463141099999,o,i,1,0,,539,wb-51,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000382
27,-65.785728117658437,18.152144102268551,PRVI27,PRVI,-65.784805381300004,18.148563730399999,-65.786190582000003,18.160044200400002,o,i,1,0,,593,wb-33,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000547
28,-66.854275479829482,17.958608387267304,PRVI28,PRVI,-66.853674440700004,17.956180190200001,-66.858457509100006,17.967957726900000,o,i,1,0,,20,wb-275,1.000000000000000,3.317163225760290,9.951489677280881,tnx-1000000201
29,-66.791467651910580,18.487382557559044,PRVI29,PRVI,-66.790026287600000,18.490376293600001,-66.797639698899999,18.466394474000001,o,i,1,0,,104,wb-239,1.000000000000000,4.884001916324730,14.652005748974201,tnx-1000000160
30,-65.557465950593098,18.086599179608527,PRVI30,PRVI,-65.557477710100002,18.085614582200002,-65.552735508699996,18.090995183899999,o,i,1,0,,307,wb-159,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000587
31,-65.549886231464370,18.085088440878906,PRVI31,PRVI,-65.549951907700006,18.084354382000001,-65.550274774599998,18.090093383700001,o,i,1,0,,321,wb-153,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000589
32,-66.979018544170458,17.962774257426076,PRVI32,PRVI,-66.983249947399997,17.962130923200000,-66.963403607999993,17.963239723899999,o,i,1,0,,394,wb-114,1.000000000000000,4.118097926142950,12.354293778428801,tnx-1000000146
33,-66.934252479868007,17.991528540210027,PRVI33,PRVI,-66.932550932300003,17.989635865400000,-66.934689532999997,17.993816666600001,i,o,1,0,,365,wb-128,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000163
34,-67.155971666259347,18.219543543000157,PRVI34,PRVI,-67.158095538900000,18.216798261899999,-67.156438471800001,18.220161796300001,o,i,1,0,,25,wb-272,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000033
35,-66.995647224639640,17.979396178590832,PRVI35,PRVI,-66.994032751000006,17.975170926899999,-66.991848017099997,17.983730129500000,o,i,1,0,,600,wb-26,1.000000000000000,3.663122973359240,10.989368920077700,tnx-1000000138
36,-65.951244298685424,17.973673095437050,PRVI36,PRVI,-65.949126162200002,17.971754209099998,-65.951160096400002,17.981948278699999,o,i,1,0,,649,wb-7,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000521
37,-67.055783116397663,17.976278391834342,PRVI37,PRVI,-67.055764969999998,17.974213925699999,-67.055082769999999,17.986820862700000,o,i,1,0,,21,wb-274,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000119
38,-66.965248183456879,17.949723128619553,PRVI38,PRVI,-66.965933541900000,17.948348052800000,-66.966011008600006,17.953845654399998,o,i,1,0,,119,wb-233,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000156
39,-65.449496841406074,18.143515483153067,PRVI39,PRVI,-65.449011144400004,18.146151135099998,-65.437933674000007,18.131933597800000,o,i,1,0,,306,wb-160,1.000000000000000,3.556582139502600,10.669746418507801,tnx-1000000607
40,-65.483024984615327,18.135493574568841,PRVI40,PRVI,-65.484070688399996,18.138549398999999,-65.481283554000001,18.130773796700002,o,i,1,0,,310,wb-158,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000598
41,-65.410159393441234,18.153767741887805,PRVI41,PRVI,-65.410872866199995,18.160229206600000,-65.408542331899994,18.150167537000002,o,i,1,0,,327,wb-148,1.000000000000000,3.155417637688700,9.466252913066111,tnx-1000000615
42,-67.050640278525975,17.976573578108173,PRVI42,PRVI,-67.051607501999996,17.973843192299999,-67.052138435700002,17.983176528400001,o,i,1,0,,343,wb-143,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000120
43,-66.889908622984535,17.953236191696931,PRVI43,PRVI,-66.890203918599994,17.952425521799999,-66.892521386200002,17.962475858099999,o,i,1,0,,346,wb-137,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000189
44,-66.994659538806616,18.029462790375533,PRVI44,PRVI,-66.995376288700001,18.027492893300000,-66.994741552199997,18.036077944799999,o,i,1,0,,403,wb-111,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000133
45,-66.688132000091684,17.976271647818351,PRVI45,PRVI,-66.688787856900007,17.975299731700002,-66.686054322900006,17.982466533899998,o,i,1,0,,564,wb-42,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000248
46,-65.954444706158199,17.973471908102113,PRVI46,PRVI,-65.954479163800002,17.970313208600000,-65.954869697500001,17.982685945499998,o,i,1,0,,675,wb-3,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000520
47,-66.932983374583046,17.946422852332830,PRVI47,PRVI,-66.933124798400002,17.945976252600001,-66.932947131700004,17.950097253799999,o,i,1,0,,51,wb-262,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000171
48,-65.876089544396905,18.387630276016466,PRVI48,PRVI,-65.872581812899995,18.400592402899999,-65.877502014100003,18.384996398199998,o,i,1,0,,71,wb-255,1.000000000000000,4.620001219429360,13.860003658288100,tnx-1000000508
49,-65.933683752403226,17.977685641978837,PRVI49,PRVI,-65.932632157200004,17.975558210399999,-65.931702890400004,17.985986480200001,o,i,1,0,,530,wb-53,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000525
50,-65.845606749351987,18.017009845627911,PRVI50,PRVI,-65.843933197200002,18.016099757100001,-65.847285598400006,18.023052159100001,o,i,1,0,,447,wb-91,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000538
51,-65.862904259224138,18.008890182535936,PRVI51,PRVI,-65.862108202599998,18.006243687300000,-65.859225468600002,18.016651090400000,o,i,1,0,,455,wb-89,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000536
52,-66.694517749594411,17.977615890560969,PRVI52,PRVI,-66.695667925699993,17.975873531800001,-66.686273923200005,17.993455537100001,o,i,1,0,,50,wb-263,1.000000000000000,3.253015051139370,9.759045153418100,tnx-1000000246
53,-65.705108660836004,18.188840096593253,PRVI53,PRVI,-65.699484755599997,18.183742808800002,-65.707375558199999,18.192232211099999,o,i,1,0,,78,wb-250,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000565
54,-65.800331523081297,18.069495383705032,PRVI54,PRVI,-65.797252983800007,18.070074773799998,-65.807284986900001,18.070647773800001,o,i,1,0,,128,wb-230,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000554
55,-66.919141203903393,17.947309580272986,PRVI55,PRVI,-66.918851927299997,17.945465519300001,-66.924033329099998,17.956608255900001,o,i,1,0,,143,wb-227,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000181
56,-66.988429338742947,17.977332035744894,PRVI56,PRVI,-66.989438216200000,17.973125259700002,-66.984074548099997,17.984479729800000,o,i,1,0,,243,wb-185,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000141
57,-66.678527033795547,17.974510011727716,PRVI57,PRVI,-66.678402920400003,17.974372131599999,-66.677285053500000,17.980777333500001,o,i,1,0,,262,wb-173,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000250
58,-65.401518654162544,18.155906515873085,PRVI58,PRVI,-65.400398463000002,18.161216007000000,-65.402674530200002,18.154667138400001,o,i,1,0,,294,wb-165,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000617
59,-65.451227488657651,18.142502482303769,PRVI59,PRVI,-65.452242945300000,18.145497334900000,-65.449564877599997,18.131190397400001,o,i,1,0,,313,wb-157,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000605
