USACE_site_index,office,CWMS_ID,Data_type,latitude,longitude,data_Freq,name3,public_nam,long_name,descriptio,horizontal,estimate,vertical_d,timezone,county,state,nation,nearest_ci,bounding_o,location_k,location_t,name_1,Alternate,Mins,Obs_type,Elev_ft
134,SPK,MER BURQ-Burns Reservoir Outflow-Burns Cr,Flow,37.37333,-120.2803,Ave, ,Burns Res-Burns Cr, ,MER - Burns Reservoir Outflow to Burns Cr - Merced Group, ,FALSE,NATIVE,US/Pacific,Merced,CA,UNITED STATES,"Planada, CA",SPK,SITE, ,MER BURQ-Burns Reservoir Outflow-Burns Cr.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,261
135,SPK,CA10103-Burns Reservoir Pool-Burns Cr,Flow-Spill,37.37667,-120.275,Inst,Burns Dam -Burns Reservoir Pool-Burns Cr,Burns Res-Pool,Burns Pool,MER - Burns Reservoir Pool Elevation Station - Merced Group,WGS84,FALSE,NATIVE,US/Pacific,Merced,CA,UNITED STATES,"Planada, CA",SPK,SITE, ,CA10103-Burns Reservoir Pool-Burns Cr.Flow-Spill.Inst.1Hour.0.Calc-val,Burns Dam -Burns Reservoir Pool-Burns Cr.Flow-Spill.Inst.1Hour.0.Calc-val,0,Calc-val,319
136,SPL,Pine Cnyn DS-Pine Cnyn W,Flow,37.47833,-114.3075,Inst, ,Pine Cnyn Downstream, , ,WGS84,FALSE,NATIVE,US/Pacific,Unknown County or County N/A,NV,UNITED STATES,Cedar City, ,SITE, ,Pine Cnyn DS-Pine Cnyn W.Flow.Inst.15Minutes.0.GOES-rev, ,0,GOES-rev,5609
137,SPL,Mathews Cnyn DS-Mathews Cnyn W,Flow,37.49972,-114.2242,Inst, ,Mathews Canyon Downstream, , ,WGS84,FALSE,NATIVE,US/Pacific,Unknown County or County N/A,NV,UNITED STATES,Cedar City, ,SITE, ,Mathews Cnyn DS-Mathews Cnyn W.Flow.Inst.15Minutes.0.GOES-rev, ,0,GOES-rev,5439
138,LRH,WV08902-Outflow,Flow,37.649,-80.886,Inst,BLN-Outflow,Bluestone Outflow (Calc), , ,WGS84,FALSE,NATIVE,US/Eastern,Summers,WV,UNITED STATES,Hinton,LRH,STREAM_LOCATION,Calculated,WV08902-Outflow.Flow.Inst.1Hour.0.OBS,BLN-Outflow.Flow.Inst.1Hour.0.OBS,0,OBS,1400
139,SPK,FRM SET-Stockton East Tun-Littlejohn Cr,Flow,37.84833,-120.6831,Inst, ,Farmington Lk-Goodwin Tunnel, ,FRM - Goodwin Tunnel (Stockton East Tunnel) abv Farmington Lk, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Oakdale, CA",SPK,SITE, ,FRM SET-Stockton East Tun-Littlejohn Cr.Flow.Inst.15Minutes.0.Combined-val, ,0,Combined-val,600
140,SPK,FRM SHG-Shirley Gulch Div-Littlejohn Cr,Flow,37.9025,-120.7597,Ave, ,Farmington Lk-Shirley Gulch, ,FRM - Shirley Gulch abv Farmington Lk, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Oakdale, CA",SPK,SITE, ,FRM SHG-Shirley Gulch Div-Littlejohn Cr.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,225
141,SPK,FRM FRMQ-Stockton East Outflow Works,Flow,37.91444,-120.9386,Inst, ,Farminton Lk-SEWD Works, ,"FRM - Farmington Dam Outflow Works, Stockton East Water District.", ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Farmington, CA",SPK,SITE, ,FRM FRMQ-Stockton East Outflow Works.Flow.Inst.1Hour.0.Calc-val, ,0,Calc-val,19
142,SPK,FRM FRMP-Farmington Pool-Littlejohn Cr,Flow-Spill,37.915,-120.935,Ave, ,Farmington Lk-Pool,Farmington Pool Farmington Pool,FRM - Farmington Dam Pool Elevation Station,WGS84,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES, ,SPK,SITE, ,FRM FRMP-Farmington Pool-Littlejohn Cr.Flow-Spill.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,180
143,SPK,FRM RCF-Rock Cr nr FRM-Littlejohn Cr,Flow,37.91833,-120.9597,Ave, ,Farmington Lk-Rock Cr, ,FRM - Rock Cr abv Confluence with Littlejohn Cr, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Farmington, CA",SPK,SITE, ,FRM RCF-Rock Cr nr FRM-Littlejohn Cr.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,105
144,SPK,FRM FRG-Littlejohn at FRM-Littlejohn Cr,Flow,37.92611,-121.0014,Ave, ,Farmington Lk-Littlejohn Cr, ,FRM - Littlejohn Cr nr Farminton CA, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Farmington, CA",SPK,SITE, ,FRM FRG-Littlejohn at FRM-Littlejohn Cr.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,115
145,SPK,FRM DUC-Duck Cr Diversion-Littlejohn Cr,Flow,37.93833,-120.9903,Ave, ,Farmington Lk-Duck Cr Div, ,FRM - Duck Cr Diversion nr Farmington, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Farmington, CA",SPK,SITE, ,FRM DUC-Duck Cr Diversion-Littlejohn Cr.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,110
146,SPK,FRM DCK-Duck Cr nr FRM-Littlejohn Cr,Flow,37.94472,-120.9308,Ave, ,Farmington Lk-Duck Cr, ,FRM - Duck Cr nr Farmington, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Farmington, CA",SPK,SITE, ,FRM DCK-Duck Cr nr FRM-Littlejohn Cr.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,150
147,SPK,NHG CGV-Cosgrove Creek-Calaveras,Flow,38.13611,-120.8472,Ave, ,New Hogan Lk-Cosgrove Cr, ,NHG - Cosgrove Cr blw Dam, ,FALSE,NATIVE,US/Pacific,Calaveras,CA,UNITED STATES,"Valley Springs, CA",SPK,SITE, ,NHG CGV-Cosgrove Creek-Calaveras.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,547
148,SPK,NHG NHGQ-New Hogan Lake Outflow-Calaveras,Flow,38.14806,-120.8239,Ave, ,New Hogan Lk-Calaveras R, ,NHG - New Hogan Lk Outflow to the Calaveras River, ,FALSE,NATIVE,US/Pacific,Calaveras,CA,UNITED STATES,"Valley Springs, CA",SPK,SITE, ,NHG NHGQ-New Hogan Lake Outflow-Calaveras.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,520
149,SPK,NHG MRS-Mormon Slough-Calaveras,Flow,38.14889,-121.0125,Ave, ,New Hogan Lk-Mormon Slough, ,NHG - Mormon Slough nr Bellota, ,FALSE,NATIVE,US/Pacific,San Joaquin,CA,UNITED STATES,"Lockeford, CA",SPK,SITE, ,NHG MRS-Mormon Slough-Calaveras.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,130
150,LRH,LON,Flow,38.1928,-81.3692,Inst,LondonLD,London Locks and Dam,Kanawha Riv at London L&D,Kanawha Riv at London L&D,WGS84, , ,US/Eastern,Kanawha,WV,UNITED STATES,London,LRH,PROJECT,Lock,LON.Flow.Inst.15Minutes.0.DCP-rev, ,0,DCP-rev,0
151,LRH,WV09903-Lake,Flow,38.3039,-82.4164,Inst,BBF-Lake,Beech Fork Lake,Beech Fk Dam near Huntington 7SSE,Beech Fk Dam near Huntington 7SSE,WGS84,FALSE,NATIVE,US/Eastern,Wayne,WV,UNITED STATES,Lavalette,LRH,SITE,Lake,WV09903-Lake.Flow.Inst.1Hour.0.OBS,BBF-Lake.Flow.Inst.1Hour.0.OBS,0,OBS,500
152,MVS,CFMV,Flow,38.31001,-88.98833,Inst,Mt Vernon-Casey Fork,Mount Vermon Casey,Mt Vernon-Casey Fork,Casey Fork at Mt. Vernon,WGS84,FALSE,NATIVE,US/Central,Unknown County or County N/A,IL,UNITED STATES, ,MVS,STREAM_LOCATION, ,CFMV.Flow.Inst.15Minutes.0.RatingUSGS,Mt Vernon-Casey Fork.Flow.Inst.15Minutes.0.RatingUSGS,0,RatingUSGS,420
153,MVS,Fayetteville,Flow,38.3775,-89.79093,Inst, ,Kaskaskia River at Fayetteville,Kaskaskia River at Fayetteville, ,WGS84,FALSE,NATIVE,US/Central,Unknown County or County N/A,IL,UNITED STATES, ,MVS,STREAM_LOCATION,Gage,Fayetteville.Flow.Inst.1Hour.0.CCP-Comp,07048600.Flow.Inst.1Hour.0.CCP-Comp,0,CCP-Comp,300
154,LRH,WIN,Flow,38.5269,-81.9136,Inst,WV07903,Winfield Locks and Dam,Winfield L-D,Winfield L-D,WGS84, , ,US/Eastern,Putnam,WV,UNITED STATES,Winfield,LRH,PROJECT,Lock,WIN.Flow.Inst.15Minutes.0.DCP-rev,01162500.Flow.Inst.15Minutes.0.DCP-rev,0,DCP-rev,0
155,MVS,St Louis-River Des Peres,Flow,38.55941,-90.2832,Inst,DPSL,St Louis RDP,St Louis-River Des Peres,River Des Peres at St. Louis,WGS84,FALSE,NATIVE,US/Central,St. Louis City,MO,UNITED STATES, ,MVS,STREAM_LOCATION, ,St Louis-River Des Peres.Flow.Inst.5Minutes.0.RatingUSGS,DPSL.Flow.Inst.5Minutes.0.RatingUSGS,0,RatingUSGS,391
156,SPK,WRS WRSQ-Lake Sonoma Outflow-Russian,Flow,38.71972,-122.9994,Ave, ,Lk Sonoma-Dry Cr, ,WRS - Warm Springs Dam Outflow to Dry Cr, ,FALSE,NATIVE,US/Pacific,Sonoma,CA,UNITED STATES,"Geyserville, CA",SPN,SITE, ,WRS WRSQ-Lake Sonoma Outflow-Russian.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,188
157,SPK,CA82212,Flow-Spill,38.7225,-123.01,Ave,WRS WRSP-Lake Sonoma Pool-Russian,Lk Sonoma-Pool,LAKE SONOMA / WARM SPRINGS DAM,WRS - Lake Sonoma Pool Elevation Station,WGS84,FALSE,NATIVE,US/Pacific,Sonoma,CA,UNITED STATES,"Cloverdale, CA",SPN,SITE, ,CA82212.Flow-Spill.Ave.1Hour.1Hour.Calc-val,WRS WRSP-Lake Sonoma Pool-Russian.Flow-Spill.Ave.1Hour.1Hour.Calc-val,0,Calc-val,495
158,LRH,WV00707-Lake,Flow,38.8428,-80.6203,Inst,BRNW2,Burnsville Lake,Burnsville Dam near Burnsville,Burnsville Dam near Burnsville,WGS84,FALSE,NATIVE,US/Eastern,Braxton,WV,UNITED STATES,Burnsville,LRH,SITE,Lake,WV00707-Lake.Flow.Inst.1Hour.0.OBS,BRNW2.Flow.Inst.1Hour.0.OBS,0,OBS,700
159,MVS,IL00116-Mississippi,Flow,38.86917,-90.15361,Inst,Mel Price-Mississippi,Mel Price L&D, , , , , , ,Unknown County or County N/A,0,UNITED STATES, , ,STREAM_LOCATION, ,IL00116-Mississippi.Flow.Inst.6Hours.0.NCRFCShef-PZ,Mel Price-Mississippi.Flow.Inst.6Hours.0.NCRFCShef-PZ,0,NCRFCShef-PZ,0
160,MVS,MO10301-Mississippi,Flow,39.00366,-90.69239,Inst,LD 25-Mississippi,LD 25 WQ, , , , , , ,Unknown County or County N/A,0,UNITED STATES, , ,STREAM_LOCATION, ,MO10301-Mississippi.Flow.Inst.6Hours.0.NCRFCShef-PZ,LD 25-Mississippi.Flow.Inst.6Hours.0.NCRFCShef-PZ,0,NCRFCShef-PZ,0
161,SPK,COY HOP-Hopland-EFRussian,Flow,39.02667,-123.1294,Ave, ,Lk Mendocino-Russian@Hopland, ,COY - Russian River nr Hopland, ,FALSE,NATIVE,US/Pacific,Mendocino,CA,UNITED STATES,"Hopland, CA",SPN,SITE, ,COY HOP-Hopland-EFRussian.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,498
162,SPK,COY COYF-Coyote Fish Hatchery-EFRussian,Flow,39.19806,-123.1858,Inst, ,Lk Mendocino-Fish Hatchery, ,COY - Coyote Dam Fish Hatchery, ,FALSE,NATIVE,US/Pacific,Mendocino,CA,UNITED STATES,"Calpella, CA",SPN,SITE, ,COY COYF-Coyote Fish Hatchery-EFRussian.Flow.Inst.15Minutes.0.LOS-raw, ,0,LOS-raw,614
163,SPK,COY COYQ-Lake Mendocino Outflow-EFRussian,Flow,39.19806,-123.1864,Ave, ,Lk Mendocino-EF Russian R, ,COY - Coyote Dam Outflow to the EF Russian River, ,FALSE,NATIVE,US/Pacific,Mendocino,CA,UNITED STATES,"Calpella, CA",SPN,SITE, ,COY COYQ-Lake Mendocino Outflow-EFRussian.Flow.Ave.~1Day.1Day.Calc-val, ,0,Calc-val,614
164,SPK,CA10105,Flow-Spill,39.23944,-121.2667,Ave,ENG ENGP-Englebright Lake Pool-Yuba,ENGLEBRIGHT LAKE / DAM,ENGLEBRIGHT LAKE / DAM,ENG - Englebright Lake Pool Elevation,WGS84, , ,US/Pacific,Yuba,CA,UNITED STATES,"Smartsville, CA",SPK,SITE, ,CA10105.Flow-Spill.Ave.1Hour.1Hour.Calc-val,ENG ENGP-Englebright Lake Pool-Yuba.Flow-Spill.Ave.1Hour.1Hour.Calc-val,0,Calc-val,0
165,SPK,MRT MRT-Martis Creek-Truckee,Flow-Res Out,39.32667,-120.1133,Ave, ,Martis Creek Reservoir, , ,WGS84,FALSE,NATIVE,US/Pacific,Nevada,CA,UNITED STATES, , ,SITE, ,MRT MRT-Martis Creek-Truckee.Flow-Res Out.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,5858
166,SPK,MRT MRTQ-Martis Res Outflow-Truckee,Flow,39.3275,-120.1147,Ave, ,Martis Lk-Martis Cr, ,MRT - Martis Cr Dam Outflow to Martis Cr, ,FALSE,NATIVE,US/Pacific,Nevada,CA,UNITED STATES,"Truckee, CA",SPK,SITE, ,MRT MRTQ-Martis Res Outflow-Truckee.Flow.Ave.1Hour.1Hour.Calc-val, ,0,Calc-val,5858
167,MVS,MO10300-Mississippi,Flow,39.375,-90.907,Inst,LD 24-Mississippi,LD 24 WQ, , ,WGS84,FALSE,NATIVE,US/Central,Pike,MO,UNITED STATES,Clarksville,MVS,STREAM_LOCATION, ,MO10300-Mississippi.Flow.Inst.6Hours.0.NCRFCShef-PZ,LD 24-Mississippi.Flow.Inst.6Hours.0.NCRFCShef-PZ,0,NCRFCShef-PZ,422
168,MVS,Ashburn-Salt,Flow,39.52264,-91.20163,Inst,SAAS,Ashburn,Ashburn-Salt,Salt River at Ashburn,WGS84,FALSE,NATIVE,US/Central,Unknown County or County N/A,MO,UNITED STATES,Ashburn,MVS,STREAM_LOCATION, ,Ashburn-Salt.Flow.Inst.15Minutes.0.RatingCOE,SAAS.Flow.Inst.15Minutes.0.RatingCOE,0,RatingCOE,447
169,SPK,CA00035-Thermolito-Feather R,Flow,39.53889,-121.4856,Inst,SAC ORO-Thermolito-Feather R,Thermolito, , , , , ,US/Pacific,Unknown County or County N/A,0,UNITED STATES, , ,STREAM_LOCATION, ,CA00035-Thermolito-Feather R.Flow.Inst.1Hour.0.Calc-manual,SAC ORO-Thermolito-Feather R.Flow.Inst.1Hour.0.Calc-manual,0,Calc-manual,0
170,LRH,OH00018-Outflow,Flow,39.54077,-82.0584,Inst,TJE-Outflow,Tom Jenkins Outflow (Calc),Tom Jenkins Lake Outflow,Tom Jenkins Lake Outflow,WGS84,FALSE,NATIVE,US/Eastern,Athens,OH,UNITED STATES,Burr Oak,LRH,STREAM_LOCATION,Calculated,OH00018-Outflow.Flow.Inst.1Hour.0.OBS,TJE-Outflow.Flow.Inst.1Hour.0.OBS,0,OBS,700
171,MVS,LD 22-Mississippi,Flow,39.63534,-91.24879,Inst, ,LD 22 WQ, , , , , , ,Unknown County or County N/A,0,UNITED STATES, , ,STREAM_LOCATION, ,LD 22-Mississippi.Flow.Inst.~2Hours.0.lpmsShef-raw, ,0,lpmsShef-raw,0
172,SPK,BLBQ,Flow,39.81846,-122.325,Ave,BLB BLBQ-Black Butte Outflow-Stony Cr,Black Butte Lk-Stony Cr, ,BLB - Black Butte Lk Outflow to Stony Cr,WGS84,FALSE,NATIVE,US/Pacific,Tehama,CA, , ,SPK,STREAM,Stream Gauge,BLBQ.Flow.Ave.1Hour.1Hour.Calc-val,BLB BLBQ-Black Butte Outflow-Stony Cr.Flow.Ave.1Hour.1Hour.Calc-val,0,Calc-val,426
173,LRH,Alexandria,Flow,40.0869,-82.6106,Inst,ALXE3,Alexandria,Alexandria near Caldwell,Alexandria near Caldwell,WGS84, , ,US/Eastern,Licking,OH,UNITED STATES,Caldwell,LRH,SITE,Gage,Alexandria.Flow.Inst.1Hour.0.DCP-rev,CE40D9B4.Flow.Inst.1Hour.0.DCP-rev,0,DCP-rev,0
174,LRH,OH00012-Outflow,Flow,40.2694,-81.2792,Inst,CLB-Outflow,Clendening Outflow, ,Outflow calculated by gate settings.,WGS84,FALSE,NATIVE,US/Eastern,Harrison,OH,UNITED STATES,Tippecanoe,LRH,SITE,Calculated,OH00012-Outflow.Flow.Inst.1Hour.0.OBS,CLB-Outflow.Flow.Inst.1Hour.0.OBS,0,OBS,862
175,LRP,Steubenville,Flow,40.35833,-80.61111,Inst,SBVO1,"Steubenville, OH","Ohio River at Steubenville, OH","Ohio River at Steubenville, OH",WGS84,FALSE,NATIVE,US/Eastern,Jefferson,OH,UNITED STATES,Weirton, ,SITE, ,Steubenville.Flow.Inst.1Hour.0.OHRFC,SBVO1.Flow.Inst.1Hour.0.OHRFC,0,OHRFC,624
176,LRH,OH00009-Outflow,Flow,40.5039,-82.5775,Inst,NBK-Outflow,NoBrKokosing Outflow,USGS 03136300 North Branch Kokosing R Lake nr Fredericktown OH,Outflow stream gage downstream from North Branch Kokosing River Dam,WGS84,FALSE,NATIVE,US/Eastern,Knox,OH,UNITED STATES,Fredericktown,LRH,SITE,Gage,OH00009-Outflow.Flow.Inst.1Hour.0.OBS,NBK-Outflow.Flow.Inst.1Hour.0.OBS,0,OBS,1100
