USACE_site_index,office,CWMS_ID,Data_type,latitude,longitude,data_Freq,name3,public_nam,long_name,descriptio,horizontal,estimate,vertical_d,timezone,county,state,nation,nearest_ci,bounding_o,location_k,location_t,name_1,Alternate,Mins,Obs_type,Elev_ft
177,NAP,Bethlehem,Flow,40.61538,-75.37879,Inst, ,"Lehigh River at Bethlehem, PA","Lehigh River at Bethlehem, PA","Lehigh River at Bethlehem, PA", , , , , , ,UNITED STATES, , ,SITE, ,Bethlehem.Flow.Inst.1Hour.0.Rev-DCP, ,0,Rev-DCP,0
178,LRH,OH00005-Lake,Flow,40.6356,-81.5581,Inst,BCS-Lake,Beach City Lake,Beach City Lake Beach City 2S,Beach City Lake Beach City 2S,WGS84,FALSE,NATIVE,US/Eastern,Tuscarawas,OH,UNITED STATES,Beach City,LRH,SITE,Lake,OH00005-Lake.Flow.Inst.1Hour.0.OBS,BCS-Lake.Flow.Inst.1Hour.0.OBS,0,OBS,931
179,LRH,OH00004-Lake,Flow,40.6486,-81.4328,Inst,BIVO1,Bolivar Lake,Bolivar Lk near Bolivar 1E,Bolivar Lk near Bolivar 1E,WGS84,FALSE,NATIVE,US/Eastern,Tuscarawas,OH,UNITED STATES,Bolivar,LRH,SITE,Lake,OH00004-Lake.Flow.Inst.1Hour.0.OBS,BIVO1.Flow.Inst.1Hour.0.OBS,0,OBS,895
180,LRH,OH00004-Outflow,Flow,40.64861,-81.4328,Inst,BOS-Outflow,Bolivar Outflow,Bolivar Outflow (calculated value),Bolivar Outflow (calculated value),WGS84,FALSE,NATIVE,US/Eastern,Tuscarawas,OH,UNITED STATES,Bolivar,LRH,STREAM_LOCATION,Calculated,OH00004-Outflow.Flow.Inst.1Hour.0.OBS,BOS-Outflow.Flow.Inst.1Hour.0.OBS,0,OBS,895
181,LRP,Clinton,Flow,40.71603,-79.57887,Inst,PA00116,"L/D-6, Clinton","Allegheny River at L/D-6, Clinton","Allegheny River at L/D-6, Clinton",WGS84,FALSE,NATIVE,US/Eastern,Armstrong,PA,UNITED STATES,Harrison Township, ,PROJECT, ,Clinton.Flow.Inst.1Hour.0.CCP-Comp,07075300.Flow.Inst.1Hour.0.CCP-Comp,0,CCP-Comp,760
182,NAP,Walnutport,Flow,40.75704,-75.60296,Inst, ,"Lehigh River at Walnutport, PA","Lehigh River at Walnutport, PA","Lehigh River at Walnutport, PA", , , , , , ,UNITED STATES, , ,SITE, ,Walnutport.Flow.Inst.1Hour.0.Rev-DCP, ,0,Rev-DCP,0
183,LRE,Youngstown,Flow,41.27,-80.67,Inst, ,Youngstown Weather Station, , , , , ,US/Eastern,Trumbull,OH,UNITED STATES,"Cortland, OH",LRP,SITE, ,Youngstown.Flow.Inst.1Hour.0.OBS,03098600.Flow.Inst.1Hour.0.OBS,0,OBS,0
184,LRE,Meadville,Flow,41.64,-80.21,Inst, ,Meadville Weather Station, , , , , ,US/Eastern,Crawford,PA,UNITED STATES,"Meadville, PA",LRP,SITE, ,Meadville.Flow.Inst.1Hour.0.OBS,03023100.Flow.Inst.1Hour.0.OBS,0,OBS,0
185,LRE,Bradford,Flow,41.8,-78.62,Inst, ,Bradford Weather Station, , , , , ,US/Eastern,McKean,PA,UNITED STATES,"Cyclone, PA",LRP,SITE, ,Bradford.Flow.Inst.1Hour.0.OBS,03010955.Flow.Inst.1Hour.0.OBS,0,OBS,0
186,LRP,CambridgeSprings,Flow,41.8072,-80.0633,Inst,CBSP1,"Cambridge Springs, PA","French Creek at Cambridge Springs, PA","French Creek at Cambridge Springs, PA",WGS84,FALSE,NATIVE,US/Eastern,Crawford,PA,UNITED STATES,Erie, ,SITE, ,CambridgeSprings.Flow.Inst.1Hour.0.OBS,CBSP1.Flow.Inst.1Hour.0.OBS,0,OBS,1124
187,NAE,EBN,Flow,42.22083,-70.97861,Inst, ,Monatiquot River at Braintree,Monatiquot River at East Braintree,Monatiquot River at East Braintree, ,FALSE,NATIVE,America/New_York,Unknown County or County N/A,0, , , ,SITE,Streamgage,EBN.Flow.Inst.15Minutes.0.DCP-rev, ,0,DCP-rev,20
188,LRE,Jackson,Flow,42.27,-84.47,Inst, ,Jackson Weather Station, , , , , ,US/Eastern,Jackson,MI,UNITED STATES,"Jackson, MI",LRE,SITE, ,Jackson.Flow.Inst.15Minutes.0.DCP-rev,DD3051BC.Flow.Inst.15Minutes.0.DCP-rev,0,DCP-rev,0
189,NAE,OTR,Flow,42.58833,-72.04139,Inst, ,Otter River @ Otter River,Otter River at Otter River,Otter River at Otter River, ,FALSE,NATIVE,America/New_York,Unknown County or County N/A,0, , , ,SITE,Streamgage,OTR.Flow.Inst.15Minutes.0.DCP-rev, ,0,DCP-rev,-236
190,NAE,ATH,Flow,42.59284,-72.23912,Inst, ,"Millers River @ Athol, MA",Millers River at Athol,Millers River at Athol,WGS84,FALSE,NATIVE,America/New_York,Worcester,MA, ,Athol, ,STREAM_LOCATION,Streamgage,ATH.Flow.Inst.15Minutes.0.DCP-rev, ,0,DCP-rev,-237
191,LRB,NY00468,Flow,42.73329,-77.90708,Inst,Mount Morris,Mount Morris Dam,Mount Morris Dam,NERFC stage gauge for MMD.,NAD27,FALSE,NATIVE,US/Eastern,Livingston,NY,UNITED STATES, ,LRB,PROJECT,Dam,NY00468.Flow.Inst.30Minutes.0.CCP-Computed-Rev,Mount Morris.Flow.Inst.30Minutes.0.CCP-Computed-Rev,0,CCP-Computed-Rev,0
192,MVP,IA04014,Flow,42.785,-91.095,Inst,LockDam_10,Mississippi R Lock and Dam 10, , ,NAD83, , ,US/Central,Unknown County or County N/A,IA,UNITED STATES, ,MVP,PROJECT,Dam,IA04014.Flow.Inst.1Hour.0.rev,LockDam_10.Flow.Inst.1Hour.0.rev,0,rev,0
193,MVP,WI00733,Flow,43.2116,-91.095,Inst,LockDam_09,Mississippi R Lock and Dam 09, , ,NAD83, , ,US/Central,Unknown County or County N/A,WI,UNITED STATES, ,MVP,PROJECT,Dam,WI00733.Flow.Inst.15Minutes.0.rev,LockDam_09.Flow.Inst.15Minutes.0.rev,0,rev,0
194,LRE,Fulton,Flow,43.3,-76.39,Inst, ,Fulton Weather Station, , , , , ,US/Eastern,Oswego,NY,UNITED STATES,"Fulton, NY",LRB,SITE, ,Fulton.Flow.Inst.1Hour.0.DCP-rev,CE41E006.Flow.Inst.1Hour.0.DCP-rev,0,DCP-rev,0
195,MVP,WI00803,Flow,43.5766,-91.2316,Inst,LockDam_08,Mississippi R Lock and Dam 08, , ,NAD83, , ,US/Central,Unknown County or County N/A,WI,UNITED STATES, , ,PROJECT,Dam,WI00803.Flow.Inst.15Minutes.0.rev,LockDam_08.Flow.Inst.15Minutes.0.rev,0,rev,0
196,MVP,MN00587,Flow,43.8666,-91.3083,Inst,LockDam_07,Mississippi R Lock and Dam 07, , ,NAD83, , ,US/Central,Unknown County or County N/A,MN,UNITED STATES, ,MVP,PROJECT,Dam,MN00587.Flow.Inst.15Minutes.0.rev,LockDam_07.Flow.Inst.15Minutes.0.rev,0,rev,0
197,LRE,Berlin,Flow,43.9538,-88.95284,Inst, ,Berlin Multi-Parameter Station, , , , , ,US/Central,Green Lake,WI,UNITED STATES,"Berlin, WI",LRE,SITE, ,Berlin.Flow.Inst.0.0.shef-raw, ,0,shef-raw,0
198,LRE,Oshkosh,Flow,43.98,-88.55,Inst, ,Oshkosh Multi-Parameter Sta, , , , , ,US/Central,Winnebago,WI,UNITED STATES,"Oshkosh, WI",LRE,SITE, ,Oshkosh.Flow.Inst.0.0.shef-raw, ,0,shef-raw,0
199,MVP,WI00802,Flow,44,-91.4383,Inst,LockDam_06,Mississippi R Lock and Dam 06, , ,NAD83, , ,US/Central,Unknown County or County N/A,WI,UNITED STATES, ,MVP,PROJECT,Dam,WI00802.Flow.Inst.15Minutes.0.rev,LockDam_06.Flow.Inst.15Minutes.0.rev,0,rev,0
200,LRE,WinnebagoObs,Flow,44.03333,-88.40556,Inst, ,Winnebago Observed Flow, , , , , ,US/Central,Winnebago,WI,UNITED STATES,"Stockbridge, WI",LRE,SITE, ,WinnebagoObs.Flow.Inst.0.0.shef-raw, ,0,shef-raw,0
201,MVP,MN00588,Flow,44.0883,-91.6699,Inst,LockDam_05a,Mississippi R Lock and Dam 05a, , ,NAD83, , ,US/Central,Unknown County or County N/A,MN,UNITED STATES, ,MVP,PROJECT,Dam,MN00588.Flow.Inst.15Minutes.0.rev,LockDam_05a.Flow.Inst.15Minutes.0.rev,0,rev,0
202,MVP,MN00589,Flow,44.1616,-91.8116,Inst,LockDam_05,Mississippi R Lock and Dam 05, , ,NAD83, , ,US/Central,Unknown County or County N/A,MN,UNITED STATES, ,MVP,PROJECT,Dam,MN00589.Flow.Inst.15Minutes.0.rev,LockDam_05.Flow.Inst.15Minutes.0.rev,0,rev,0
203,LRE,Appleton,Flow,44.25,-88.52,Inst, ,Appleton Multi-Parameter Station, , , , , ,US/Central,Outagamie,WI,UNITED STATES,"Greenville, WI",LRE,SITE, ,Appleton.Flow.Inst.0.0.shef-raw, ,0,shef-raw,0
204,MVP,WI00727,Flow,44.325,-91.9233,Inst,LockDam_04,Mississippi R Lock and Dam 04, , ,NAD83, , ,US/Central,Unknown County or County N/A,WI,UNITED STATES, ,MVP,PROJECT,Dam,WI00727.Flow.Inst.15Minutes.0.rev,LockDam_04.Flow.Inst.15Minutes.0.rev,0,rev,0
205,LRE,NewLondonObs,Flow,44.39222,-88.74028,Inst, ,New London Observed Flow, , , , , ,US/Central,Waupaca,WI,UNITED STATES,"New London, WI",LRE,SITE, ,NewLondonObs.Flow.Inst.0.0.shef-raw, ,0,shef-raw,0
206,MVP,MN00595,Flow,44.61,-92.61,Inst,LockDam_03,Mississippi R Lock and Dam 03,Mississippi River Lock and Dam 03, ,NAD83,FALSE,NATIVE,US/Central,Unknown County or County N/A,MN,UNITED STATES, ,MVP,PROJECT,Dam,MN00595.Flow.Inst.15Minutes.0.rev,LockDam_03.Flow.Inst.15Minutes.0.rev,0,rev,600
207,MVP,MN00594,Flow,44.7599,-92.8683,Inst,LockDam_02,Mississippi R Lock and Dam 02, , ,NAD83, , ,US/Central,Unknown County or County N/A,MN,UNITED STATES, ,MVP,PROJECT,Dam,MN00594.Flow.Inst.15Minutes.0.comp,LockDam_02.Flow.Inst.15Minutes.0.comp,0,comp,0
208,MVP,MN00591,Flow,44.9783,-93.2466,Inst,LowerSAFalls,Lower St Anthony Falls, ,Elevations are in MSL 1912,NAD83, , , ,Unknown County or County N/A,MN,UNITED STATES, , ,PROJECT,Dam,MN00591.Flow.Inst.~1Day.0.CEMVP-Legacy,LowerSAFalls.Flow.Inst.~1Day.0.CEMVP-Legacy,0,CEMVP-Legacy,0
209,MVP,MN00579,Flow,45.17139,-96.09333,Inst,MarshLake_Dam,Marsh Lake Dam, , ,NAD83, , ,US/Central,Unknown County or County N/A,MN,UNITED STATES, ,MVP,PROJECT,Dam,MN00579.Flow.Inst.1Hour.0.Fcst-CEMVP,MarshLake_Dam.Flow.Inst.1Hour.0.Fcst-CEMVP,0,Fcst-CEMVP,0
210,MVP,MN00581-ServiceSpillway,Flow-Out,45.22944,-96.29028,Inst,Highway75_Dam-ServiceSpillway,Highway 75 Dam Service Spillway, , ,NAD83, , ,US/Central,Unknown County or County N/A,0,UNITED STATES, ,MVP,SITE, ,MN00581-ServiceSpillway.Flow-Out.Inst.~1Day.0.CEMVP-Legacy,Highway75_Dam-ServiceSpillway.Flow-Out.Inst.~1Day.0.CEMVP-Legacy,0,CEMVP-Legacy,0
211,MVP,Benson,Flow,45.3111,-95.6249,Inst,BENM5,Chippewa River at Benson,"Chippewa River at Benson, US12",Owner is MNDNR/MPCA,NAD27,FALSE,NATIVE,US/Central,Unknown County or County N/A,MN,UNITED STATES,Benson,MVP,SITE,DCP Gage,Benson.Flow.Inst.15Minutes.0.rev,BENM5.Flow.Inst.15Minutes.0.rev,0,rev,1009
212,NAE,WAS,Flow,46.77722,-68.15722,Inst, ,"Arroostoock River @ Washburn, ME",Aroostoock River at Washburn,Aroostoock River at Washburn, ,FALSE,NATIVE,America/New_York,Unknown County or County N/A,ME, , , ,SITE,Streamgage,WAS.Flow.Inst.15Minutes.0.DCP-rev, ,0,DCP-rev,436
213,MVP,ND00310-Spillway,Flow,48.40498,-97.79103,Inst,Homme_Dam-Spillway,Homme Dam Overflow Spillway, , , , , ,America/Chicago,Unknown County or County N/A,0,UNITED STATES, ,MVP,SITE, ,ND00310-Spillway.Flow.Inst.15Minutes.0.rev,Homme_Dam-Spillway.Flow.Inst.15Minutes.0.rev,0,rev,0
214,MVP,AlamedaRsvr,Flow-Out,49.25889,-102.2306,Inst, ,Alameda Reservoir near Alameda,"Alameda Reservoir near Alameda, SK",Owner is Environment Canada, , , ,US/Central, , ,CANADA, , ,SITE,DCP Gage,AlamedaRsvr.Flow-Out.Inst.15Minutes.0.ProjectEntry, ,0,ProjectEntry,0
215,MVP,Alameda,Flow,49.34694,-102.2556,Inst, ,Shepherd Creek near Alameda,"Shepherd Creek near Alameda, SK",Owner is Environment Canada, , , ,US/Central, , ,CANADA, , ,SITE,DCP Gage,Alameda.Flow.Inst.5Minutes.0.Raw-EnvCan, ,0,Raw-EnvCan,0
216,MVP,AlamedaRsvr-MooseMntCreek,Flow,49.52278,-102.1719,Inst, ,Moose Mnt Creek a Alameda RSVR,"Moose Mountain Creek above Alameda Reservoir, SK",Owner is Environment Canada, , , ,US/Central, , ,CANADA, , ,SITE,DCP Gage,AlamedaRsvr-MooseMntCreek.Flow.Inst.5Minutes.0.Raw-EnvCan, ,0,Raw-EnvCan,0
217,SPK,CA10201,Flow-Spill,39.19806,-123.1806,Ave,"CA10201	-Lake Mendocino Pool-EFRussian",Lk Mendocino-Pool,Coyote Valley Dam,COY - Lake Mendocino (Coyote Dam) Pool Elevation Station,WGS84,FALSE,NATIVE,US/Pacific,Mendocino,CA,UNITED STATES,"Calpella, CA",SPN,SITE, ,"CA10201	-Lake Mendocino Pool-EFRussian.Flow-Spill.Ave.1Hour.1Hour.Calc-val",CA10201.Flow-Spill.Ave.1Hour.1Hour.Calc-val,0,Calc-val,789
218,NWDP,WA00302,Flow-Out,47.38537,-123.6057,Ave,12035380,Wynoochee Dam,WYNOOCHEE DAM, ,NAD83, , ,US/Pacific,Grays Harbor,WA,UNITED STATES,Aberdeen,NWS,PROJECT,Dam,WA00302.Flow-Out.Ave.1Hour.1Hour.CENWS-COMPUTED-R*,12035380.Flow-Out.Ave.1Hour.1Hour.CENWS-COMPUTED-RAW,0,CENWS-COMPUTED-RAW,0
219,NWDP,D10D3406,Flow,46.50047,-116.3923,Ave,PEKI,Clearwater R near Peck,CLEARWATER RIVER NEAR PECK 2NE,USGS #13341050,WGS84,FALSE,NATIVE,US/Pacific,Nez Perce,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,D10D3406.Flow.Ave.~1Day.1Day.CBT-COMPUTED-REV,PEKI.Flow.Ave.~1Day.1Day.CBT-COMPUTED-REV,0,CBT-COMPUTED-REV,930
220,NWDP,ETSI,Flow-Canal,43.93333,-116.4333,Inst,34433F4C,Emmett Irrigat Dist S Side Cnl,Emmett Irrigation Dist South Side Canal,USBR Hydromet Station ETSI,WGS84,FALSE,NATIVE,US/Mountain,Gem,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,ETSI.Flow-Canal.Inst.0.0.USBR-RAW,34433F4C.Flow-Canal.Inst.0.0.USBR-RAW,0,USBR-RAW,2500
221,NWDP,12371550,Flow-Out,47.68,-114.23,Inst,KERM,Kerr Dam,Kerr Dam, ,NAD83,FALSE,NATIVE,US/Mountain,Lake,MT, , ,NWS,SITE,Dam,12371550.Flow-Out.Inst.~1Day.0.CBT-REV,KERM.Flow-Out.Inst.~1Day.0.CBT-REV,0,CBT-REV,2890
222,NWDP,MT00652,Flow-Out,48.41056,-115.3131,Ave,CE1192D4,Libby Dam Near Libby,LIBBY DAM NEAR LIBBY, , ,FALSE,NATIVE,US/Mountain,Lincoln,MT,UNITED STATES,Libby,NWS,PROJECT,Corps Reservoir,MT00652.Flow-Out.Ave.1Hour.1Hour.CBT-REV,CE1192D4.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,2342
223,NWDP,SMCI,Flow-Canal,42.6625,-113.4889,Inst, ,S Side Minidoka Cnl nr Minidoka,S. Side Minidoka Canal Near Minidoka, ,WGS84,FALSE,NATIVE,US/Mountain,Cassia,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,SMCI.Flow-Canal.Inst.0.0.USBR-RAW, ,0,USBR-RAW,4184
224,NWDP,34437294,Flow-Canal,42.67167,-113.4839,Inst,13080000,N Side Minidoka Cnl nr Minidoka,N. Side Minidoka Canal Near Minidoka,USBR Station ID NMCI,WGS84,FALSE,NATIVE,US/Mountain,Minidoka,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,34437294.Flow-Canal.Inst.0.0.USBR-RAW,13080000.Flow-Canal.Inst.0.0.USBR-RAW,0,USBR-RAW,4180
225,NWDP,MT00565,Flow-Out,48.34111,-114.0133,Ave,345EB372,Hungry Horse Dam nr Hungry Horse,HUNGRY HORSE DAM NEAR HUNGRY HORSE, , ,FALSE,NATIVE,US/Mountain,Flathead,MT,UNITED STATES,Missoula,NWS,PROJECT,Dam,MT00565.Flow-Out.Ave.1Hour.1Hour.CBT-REV,345EB372.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,3196
226,NWDP,WFCI,Flow-Canal,43.90556,-111.6278,Inst,18D21S,Wilford Canal,Wilford Canal,USBR Station ID WFCI,WGS84,FALSE,NATIVE,US/Mountain,Fremont,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,WFCI.Flow-Canal.Inst.0.0.USBR-RAW,18D21S.Flow-Canal.Inst.0.0.USBR-RAW,0,USBR-RAW,4965
227,NWDP,MHPI,Flow-Discharge-Power,42.51667,-114.0333,Ave, ,Milner Hydroelectric Plant,Milner Hydroelectric Plant, ,WGS84,FALSE,NATIVE,US/Mountain,Cassia,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,MHPI.Flow-Discharge-Power.Ave.~1Day.1Day.USBR-COM*, ,0,USBR-COMPUTED-REV,4120
228,NWDP,ID00319,Flow-Out,48.17925,-116.9997,Ave,ALF,Albeni Falls Dam,Albeni Falls Dam, , ,FALSE,NATIVE,US/Pacific,Bonner,ID,UNITED STATES,Coeur d'Alene,NWS,PROJECT,Corps Reservoir,ID00319.Flow-Out.Ave.1Hour.1Hour.CBT-REV,ALF.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,2047
229,NWDP,WA00256,Flow-Out-Total,47.40927,-121.724,Ave,12115900,Chester Morse Lake @ Cedar Falls,CHESTER MORSE LAKE AT CEDAR FALLS NEAR NORTH BEND 7SSE, ,NAD83, , ,US/Pacific,King,WA, , ,NWS,SITE,Dam,WA00256.Flow-Out-Total.Ave.1Hour.1Hour.SCL-RAW,12115900.Flow-Out-Total.Ave.1Hour.1Hour.SCL-RAW,0,SCL-RAW,0
230,NWDP,OR00002,Flow-Out,45.61,-121.13,Ave,14103950,The Dalles Lock and Dam,The Dalles Dam and Lake Celilo on the Columbia River, ,WGS84, , ,US/Pacific,Wasco,OR,UNITED STATES, ,NWDP,PROJECT,Dam,OR00002.Flow-Out.Ave.1Hour.1Hour.CBT-REV,14103950.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
231,NWDP,WA00168,Flow-Out,48.69824,-121.2091,Ave,GOD,Gorge Reservoir nr Nehalem,GORGE RESERVOIR NR NEHALEM, , , , ,US/Pacific,Whatcom,WA,UNITED STATES,Newhalem,NWS,PROJECT,Dam,WA00168.Flow-Out.Ave.1Hour.1Hour.SCL-RAW,GOD.Flow-Out.Ave.1Hour.1Hour.SCL-RAW,0,SCL-RAW,0
232,NWDP,OR00616,Flow-Out,45.93563,-119.2977,Ave,MCN,McNary Lock and Dam,McNary Dam and Lake Wallula,McNary_Dam,WGS84,FALSE,NATIVE,US/Pacific,Umatilla,OR,UNITED STATES, ,NWDP,PROJECT,Dam,OR00616.Flow-Out.Ave.~1Day.1Day.CBT-REV,MCN.Flow-Out.Ave.~1Day.1Day.CBT-REV,0,CBT-REV,361
233,NWDP,ID00287,Flow-Out,46.51537,-116.2962,Ave,DWR,Dworshak Dam,Dworshak_Dam,Dworshak_Dam Datum Correction 1929-1988 (CorpsCon 6) = 3.320 Ft,WGS84,FALSE,NATIVE,US/Pacific,Clearwater,ID,UNITED STATES,Moscow,NWW,PROJECT,Corps Reservoir,ID00287.Flow-Out.Ave.~6Hours.6Hours.CBT-COMPUTED-*,DWR.Flow-Out.Ave.~6Hours.6Hours.CBT-COMPUTED-REV,0,CBT-COMPUTED-REV,1613
234,NWDP,TLCI,Flow-Canal,43.72028,-111.8272,Inst,13038434,Texas And Liberty Weir,Texas and Liberty Weir,USBR Station ID TLCI,WGS84,FALSE,NATIVE,US/Mountain,Madison,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,TLCI.Flow-Canal.Inst.0.0.USBR-RAW,13038434.Flow-Canal.Inst.0.0.USBR-RAW,0,USBR-RAW,4895
235,NWDP,WA00169,Flow-Loc,48.73278,-121.0672,Ave,ROS,Ross Reservoir nr Newhalem,ROSS RESERVOIR NEAR NEWHALEM, , , , ,US/Pacific,Whatcom,WA,UNITED STATES,Newhalem,NWS,PROJECT,Dam,WA00169.Flow-Loc.Ave.1Hour.1Hour.SCL-RAW,ROS.Flow-Loc.Ave.1Hour.1Hour.SCL-RAW,0,SCL-RAW,0
236,NWDP,WA00300,Flow-Out,47.1422,-121.9313,Inst,MMD,Mud Mountain Dam nr Buckley WA,MUD MOUNTAIN DAM NR BUCKLEY WA, , , , ,US/Pacific,King,WA,UNITED STATES,Buckley,NWS,PROJECT,Corps Reservoir,WA00300.Flow-Out.Inst.1Hour.0.NWSRADIO-COMPUTED-R*,MMD.Flow-Out.Inst.1Hour.0.NWSRADIO-COMPUTED-RAW,0,NWSRADIO-COMPUTED-RAW,0
237,NWDP,ARK,Flow-Out,43.59529,-115.9225,Ave,347D061C,Arrowrock Dam,ARROWROCK DAM AND RESERVOIR NEAR BOISE 14E,Datum Correction 1929-1988 (CorpsCon 6) = 3.406 Ft,WGS84,FALSE,NATIVE,US/Mountain,Boise,ID,UNITED STATES,Boise,NWW,PROJECT,Bureau of Reclamation Dam,ARK.Flow-Out.Ave.~6Hours.6Hours.USBR-COMPUTED-REV,347D061C.Flow-Out.Ave.~6Hours.6Hours.USBR-COMPUTED-REV,0,USBR-COMPUTED-REV,3220
238,NWDP,DIA,Flow-Out,48.71556,-121.1506,Ave, ,Diablo Reservoir nr Newhalem 6NE,DIABLO RESERVOIR NEAR NEWHALEM 6NE, , , , ,US/Pacific,Whatcom,WA, , ,NWS,SITE,Dam,DIA.Flow-Out.Ave.~1Day.1Day.CBT-REV, ,0,CBT-REV,0
239,NWDP,SQWI,Flow,43.96667,-116.3314,Inst,3483268C,Squaw Cr near Sweet 1S,Squaw Creek near Sweet 1S,USGS #13297355,WGS84,FALSE,NATIVE,US/Mountain,Gem,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,SQWI.Flow.Inst.0.0.USBR-RAW,3483268C.Flow.Inst.0.0.USBR-RAW,0,USBR-RAW,5710
240,NWDP,WA00173,Flow-Out,48.64929,-121.6907,Inst,12191600,Baker Lk @ Upr Baker Dm nr Conct,BAKER LAKE AT UPPER BAKER DAM NEAR CONCRETE, ,NAD83, , ,US/Pacific,Whatcom,WA,UNITED STATES,Concrete,NWS,PROJECT,Dam,WA00173.Flow-Out.Inst.1Hour.0.PSE-RAW,12191600.Flow-Out.Inst.1Hour.0.PSE-RAW,0,PSE-RAW,0
241,NWDP,WA00085,Flow-Out,46.87472,-119.9714,Ave,WAN,Wanapum Dam,Wanapum Dam, , , , ,US/Pacific,Kittitas,WA, , ,NWDP,PROJECT,Dam,WA00085.Flow-Out.Ave.1Hour.1Hour.CBT-REV,WAN.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
242,NWDP,WA00086,Flow-Out,47.53371,-120.296,Ave,RRH,Rocky Reach Dam,Rocky Reach Dam, ,NAD83, , ,US/Pacific,Chelan,WA, , ,NWDP,PROJECT,Dam,WA00086.Flow-Out.Ave.1Hour.1Hour.CBT-REV,RRH.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
243,NWDP,WA00009,Flow-Out,48.98722,-117.3475,Ave,BDY,Boundary Dam,Boundary Dam, , , , ,US/Pacific,Pend Oreille,WA,UNITED STATES,Spokane,NWS,PROJECT,Dam,WA00009.Flow-Out.Ave.~1Day.1Day.CBT-REV,BDY.Flow-Out.Ave.~1Day.1Day.CBT-REV,0,CBT-REV,0
244,NWDP,14128860,Flow-Out,45.64583,-121.9389,Ave,BON,Bonneville Lock and Dam,Bonneville Dam and Lake On Columbia River, ,WGS84, , ,US/Pacific,Multnomah,OR,UNITED STATES, ,NWDP,PROJECT,Dam,14128860.Flow-Out.Ave.1Hour.1Hour.CBT-REV,BON.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
245,NWDP,WA00098,Flow-Out,47.94722,-119.8651,Ave,WEL,Wells Dam,Wells Dam, ,NAD83, , ,US/Central,Douglas,WA, , ,NWDP,PROJECT,Dam,WA00098.Flow-Out.Ave.1Hour.1Hour.CBT-REV,WEL.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
246,NWDP,WA00088,Flow-Out,46.64442,-119.9099,Ave,PRD,Priest Rapids Dam,Priest Rapids Dam, , , , ,US/Pacific,Grant,WA, , ,NWDP,PROJECT,Dam,WA00088.Flow-Out.Ave.1Hour.1Hour.CBT-REV,PRD.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
247,NWDP,14048006,Flow-Out,45.71485,-120.6937,Ave,JDA,John Day Lock and Dam,John Day Dam and Lake Umatilla, ,WGS84, , ,US/Pacific,Sherman,OR,UNITED STATES, ,NWDP,PROJECT,Dam,14048006.Flow-Out.Ave.1Hour.1Hour.CBT-REV,JDA.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
248,NWDP,WA00299,Flow-Out,47.99511,-119.6411,Ave,12437990,Chief Joseph Dam,Chief Joseph Dam, ,NAD83, , ,US/Pacific,Douglas,WA,UNITED STATES, ,NWDP,PROJECT,Dam,WA00299.Flow-Out.Ave.1Hour.1Hour.CBT-REV,12437990.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
249,NWDP,GCL,Flow-Out,47.95667,-118.9805,Ave, ,Grand Coulee Dam,Grand Coulee Dam 1 Southwest, , ,FALSE,NATIVE,US/Pacific,Okanogan,WA, , ,NWDP,PROJECT,Dam,GCL.Flow-Out.Ave.1Hour.1Hour.CBT-REV, ,0,CBT-REV,1929
250,NWDP,WA00084,Flow-Out,47.33984,-120.0945,Ave,RIS,Rock Island Dam,Rock Island Dam, ,NAD83, , ,US/Pacific,Chelan,WA, , ,NWDP,PROJECT,Dam,WA00084.Flow-Out.Ave.1Hour.1Hour.CBT-REV,RIS.Flow-Out.Ave.1Hour.1Hour.CBT-REV,0,CBT-REV,0
251,NWDP,CSCI,Flow,44.52461,-116.0397,Ave, ,North Fork Payette R @ Cascade,NORTH FORK PAYETTE RIVER AT CASCADE,USGS #13245000,WGS84,FALSE,NATIVE,US/Mountain,Valley,ID,UNITED STATES, ,NWW,SITE,Stream Gauge,CSCI.Flow.Ave.~1Day.1Day.USBR-COMPUTED-REV, ,0,USBR-COMPUTED-REV,4720
