------------------------------------------------------------
 Model:        tpxo10_atlas
 Constituents included:

     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)


------------------------------------------------------------
 Model:        a/TPXO/Model_tpxo10_atlas
 Constituents included: m2  s2  k1  o1  n2  p1  k2  q1  2n2 mf  mm  m4  ms4 mn4 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
    28.3114  -96.4250     05.11.2020 14:40:00     0.233    11.540
    28.3114  -96.4250     05.11.2020 14:50:00     0.235    11.540
    28.3114  -96.4250     05.11.2020 15:00:00     0.236    11.540
    28.3114  -96.4250     05.11.2020 15:10:00     0.237    11.540
    28.3114  -96.4250     05.11.2020 15:20:00     0.238    11.540
    28.3114  -96.4250     05.11.2020 15:30:00     0.238    11.540
    28.3114  -96.4250     05.11.2020 15:40:00     0.238    11.540
    28.3114  -96.4250     05.11.2020 15:50:00     0.238    11.540
    28.3114  -96.4250     05.11.2020 16:00:00     0.237    11.540
    28.3114  -96.4250     05.11.2020 16:10:00     0.236    11.540
    28.3114  -96.4250     05.11.2020 16:20:00     0.235    11.540
    28.3114  -96.4250     05.11.2020 16:30:00     0.233    11.540
    28.3114  -96.4250     05.11.2020 16:40:00     0.232    11.540
    28.3114  -96.4250     05.11.2020 16:50:00     0.230    11.540
    28.3114  -96.4250     05.11.2020 17:00:00     0.227    11.540
    28.3114  -96.4250     05.11.2020 17:10:00     0.225    11.540
    28.3114  -96.4250     05.11.2020 17:20:00     0.222    11.540
    28.3114  -96.4250     05.11.2020 17:30:00     0.220    11.540
    28.3114  -96.4250     05.11.2020 17:40:00     0.217    11.540
    28.3114  -96.4250     05.11.2020 17:50:00     0.213    11.540
    28.3114  -96.4250     05.11.2020 18:00:00     0.210    11.540
    28.3114  -96.4250     05.11.2020 18:10:00     0.206    11.540
    28.3114  -96.4250     05.11.2020 18:20:00     0.203    11.540
    28.3114  -96.4250     05.11.2020 18:30:00     0.199    11.540
    28.3114  -96.4250     05.11.2020 18:40:00     0.195    11.540
    28.3114  -96.4250     05.11.2020 18:50:00     0.191    11.540
    28.3114  -96.4250     05.11.2020 19:00:00     0.187    11.540
    28.3114  -96.4250     05.11.2020 19:10:00     0.183    11.540
    28.3114  -96.4250     05.11.2020 19:20:00     0.179    11.540
    28.3114  -96.4250     05.11.2020 19:30:00     0.175    11.540
    28.3114  -96.4250     05.11.2020 19:40:00     0.171    11.540
    28.3114  -96.4250     05.11.2020 19:50:00     0.167    11.540
    28.3114  -96.4250     05.11.2020 20:00:00     0.163    11.540
    28.3114  -96.4250     05.11.2020 20:10:00     0.159    11.540
    28.3114  -96.4250     05.11.2020 20:20:00     0.155    11.540
    28.3114  -96.4250     05.11.2020 20:30:00     0.151    11.540
    28.3114  -96.4250     05.11.2020 20:40:00     0.146    11.540
    28.3114  -96.4250     05.11.2020 20:50:00     0.142    11.540
    28.3114  -96.4250     05.11.2020 21:00:00     0.138    11.540
    28.3114  -96.4250     05.11.2020 21:10:00     0.134    11.540
    28.3114  -96.4250     05.11.2020 21:20:00     0.130    11.540
    28.3114  -96.4250     05.11.2020 21:30:00     0.125    11.540
    28.3114  -96.4250     05.11.2020 21:40:00     0.121    11.540
    28.3114  -96.4250     05.11.2020 21:50:00     0.116    11.540
    28.3114  -96.4250     05.11.2020 22:00:00     0.111    11.540
    28.3114  -96.4250     05.11.2020 22:10:00     0.106    11.540
    28.3114  -96.4250     05.11.2020 22:20:00     0.101    11.540
    28.3114  -96.4250     05.11.2020 22:30:00     0.095    11.540
    28.3114  -96.4250     05.11.2020 22:40:00     0.089    11.540
    28.3114  -96.4250     05.11.2020 22:50:00     0.083    11.540
    28.3114  -96.4250     05.11.2020 23:00:00     0.076    11.540
    28.3114  -96.4250     05.11.2020 23:10:00     0.069    11.540
    28.3114  -96.4250     05.11.2020 23:20:00     0.061    11.540
    28.3114  -96.4250     05.11.2020 23:30:00     0.053    11.540
    28.3114  -96.4250     05.11.2020 23:40:00     0.045    11.540
    28.3114  -96.4250     05.11.2020 23:50:00     0.036    11.540
    28.3114  -96.4250     05.12.2020 00:00:00     0.026    11.540
    28.3114  -96.4250     05.12.2020 00:10:00     0.016    11.540
    28.3114  -96.4250     05.12.2020 00:20:00     0.006    11.540
    28.3114  -96.4250     05.12.2020 00:30:00    -0.005    11.540
    28.3114  -96.4250     05.12.2020 00:40:00    -0.016    11.540
    28.3114  -96.4250     05.12.2020 00:50:00    -0.027    11.540
    28.3114  -96.4250     05.12.2020 01:00:00    -0.039    11.540
    28.3114  -96.4250     05.12.2020 01:10:00    -0.052    11.540
    28.3114  -96.4250     05.12.2020 01:20:00    -0.064    11.540
    28.3114  -96.4250     05.12.2020 01:30:00    -0.077    11.540
    28.3114  -96.4250     05.12.2020 01:40:00    -0.089    11.540
    28.3114  -96.4250     05.12.2020 01:50:00    -0.102    11.540
    28.3114  -96.4250     05.12.2020 02:00:00    -0.115    11.540
    28.3114  -96.4250     05.12.2020 02:10:00    -0.128    11.540
    28.3114  -96.4250     05.12.2020 02:20:00    -0.141    11.540
    28.3114  -96.4250     05.12.2020 02:30:00    -0.154    11.540
    28.3114  -96.4250     05.12.2020 02:40:00    -0.167    11.540
    28.3114  -96.4250     05.12.2020 02:50:00    -0.179    11.540
    28.3114  -96.4250     05.12.2020 03:00:00    -0.191    11.540
    28.3114  -96.4250     05.12.2020 03:10:00    -0.203    11.540
    28.3114  -96.4250     05.12.2020 03:20:00    -0.214    11.540
    28.3114  -96.4250     05.12.2020 03:30:00    -0.225    11.540
    28.3114  -96.4250     05.12.2020 03:40:00    -0.236    11.540
    28.3114  -96.4250     05.12.2020 03:50:00    -0.246    11.540
    28.3114  -96.4250     05.12.2020 04:00:00    -0.256    11.540
    28.3114  -96.4250     05.12.2020 04:10:00    -0.265    11.540
    28.3114  -96.4250     05.12.2020 04:20:00    -0.274    11.540
    28.3114  -96.4250     05.12.2020 04:30:00    -0.281    11.540
    28.3114  -96.4250     05.12.2020 04:40:00    -0.289    11.540
    28.3114  -96.4250     05.12.2020 04:50:00    -0.296    11.540
    28.3114  -96.4250     05.12.2020 05:00:00    -0.302    11.540
    28.3114  -96.4250     05.12.2020 05:10:00    -0.307    11.540
    28.3114  -96.4250     05.12.2020 05:20:00    -0.312    11.540
    28.3114  -96.4250     05.12.2020 05:30:00    -0.316    11.540
    28.3114  -96.4250     05.12.2020 05:40:00    -0.319    11.540
    28.3114  -96.4250     05.12.2020 05:50:00    -0.322    11.540
    28.3114  -96.4250     05.12.2020 06:00:00    -0.324    11.540
    28.3114  -96.4250     05.12.2020 06:10:00    -0.325    11.540
    28.3114  -96.4250     05.12.2020 06:20:00    -0.325    11.540
    28.3114  -96.4250     05.12.2020 06:30:00    -0.325    11.540
    28.3114  -96.4250     05.12.2020 06:40:00    -0.324    11.540
    28.3114  -96.4250     05.12.2020 06:50:00    -0.322    11.540
    28.3114  -96.4250     05.12.2020 07:00:00    -0.320    11.540
    28.3114  -96.4250     05.12.2020 07:10:00    -0.316    11.540
    28.3114  -96.4250     05.12.2020 07:20:00    -0.312    11.540
    28.3114  -96.4250     05.12.2020 07:30:00    -0.307    11.540
    28.3114  -96.4250     05.12.2020 07:40:00    -0.301    11.540
    28.3114  -96.4250     05.12.2020 07:50:00    -0.295    11.540
    28.3114  -96.4250     05.12.2020 08:00:00    -0.288    11.540
    28.3114  -96.4250     05.12.2020 08:10:00    -0.280    11.540
    28.3114  -96.4250     05.12.2020 08:20:00    -0.271    11.540
    28.3114  -96.4250     05.12.2020 08:30:00    -0.261    11.540
    28.3114  -96.4250     05.12.2020 08:40:00    -0.251    11.540
    28.3114  -96.4250     05.12.2020 08:50:00    -0.240    11.540
    28.3114  -96.4250     05.12.2020 09:00:00    -0.229    11.540
    28.3114  -96.4250     05.12.2020 09:10:00    -0.216    11.540
    28.3114  -96.4250     05.12.2020 09:20:00    -0.204    11.540
    28.3114  -96.4250     05.12.2020 09:30:00    -0.190    11.540
    28.3114  -96.4250     05.12.2020 09:40:00    -0.177    11.540
    28.3114  -96.4250     05.12.2020 09:50:00    -0.163    11.540
    28.3114  -96.4250     05.12.2020 10:00:00    -0.148    11.540
    28.3114  -96.4250     05.12.2020 10:10:00    -0.133    11.540
    28.3114  -96.4250     05.12.2020 10:20:00    -0.118    11.540
    28.3114  -96.4250     05.12.2020 10:30:00    -0.103    11.540
    28.3114  -96.4250     05.12.2020 10:40:00    -0.088    11.540
    28.3114  -96.4250     05.12.2020 10:50:00    -0.072    11.540
    28.3114  -96.4250     05.12.2020 11:00:00    -0.057    11.540
    28.3114  -96.4250     05.12.2020 11:10:00    -0.042    11.540
    28.3114  -96.4250     05.12.2020 11:20:00    -0.026    11.540
    28.3114  -96.4250     05.12.2020 11:30:00    -0.012    11.540
    28.3114  -96.4250     05.12.2020 11:40:00     0.003    11.540
    28.3114  -96.4250     05.12.2020 11:50:00     0.017    11.540
    28.3114  -96.4250     05.12.2020 12:00:00     0.031    11.540
    28.3114  -96.4250     05.12.2020 12:10:00     0.045    11.540
    28.3114  -96.4250     05.12.2020 12:20:00     0.058    11.540
    28.3114  -96.4250     05.12.2020 12:30:00     0.070    11.540
    28.3114  -96.4250     05.12.2020 12:40:00     0.082    11.540
    28.3114  -96.4250     05.12.2020 12:50:00     0.094    11.540
    28.3114  -96.4250     05.12.2020 13:00:00     0.105    11.540
    28.3114  -96.4250     05.12.2020 13:10:00     0.115    11.540
    28.3114  -96.4250     05.12.2020 13:20:00     0.125    11.540
    28.3114  -96.4250     05.12.2020 13:30:00     0.134    11.540
    28.3114  -96.4250     05.12.2020 13:40:00     0.142    11.540
    28.3114  -96.4250     05.12.2020 13:50:00     0.150    11.540
    28.3114  -96.4250     05.12.2020 14:00:00     0.157    11.540
    28.3114  -96.4250     05.12.2020 14:10:00     0.164    11.540
    28.3114  -96.4250     05.12.2020 14:20:00     0.170    11.540
    28.3114  -96.4250     05.12.2020 14:30:00     0.176    11.540
    28.3114  -96.4250     05.12.2020 14:40:00     0.181    11.540
    28.3114  -96.4250     05.12.2020 14:50:00     0.186    11.540
    28.3114  -96.4250     05.12.2020 15:00:00     0.190    11.540
    28.3114  -96.4250     05.12.2020 15:10:00     0.194    11.540
    28.3114  -96.4250     05.12.2020 15:20:00     0.197    11.540
    28.3114  -96.4250     05.12.2020 15:30:00     0.200    11.540
    28.3114  -96.4250     05.12.2020 15:40:00     0.203    11.540
    28.3114  -96.4250     05.12.2020 15:50:00     0.205    11.540
    28.3114  -96.4250     05.12.2020 16:00:00     0.207    11.540
    28.3114  -96.4250     05.12.2020 16:10:00     0.208    11.540
    28.3114  -96.4250     05.12.2020 16:20:00     0.209    11.540
    28.3114  -96.4250     05.12.2020 16:30:00     0.210    11.540
    28.3114  -96.4250     05.12.2020 16:40:00     0.211    11.540
    28.3114  -96.4250     05.12.2020 16:50:00     0.211    11.540
    28.3114  -96.4250     05.12.2020 17:00:00     0.211    11.540
    28.3114  -96.4250     05.12.2020 17:10:00     0.210    11.540
    28.3114  -96.4250     05.12.2020 17:20:00     0.209    11.540
    28.3114  -96.4250     05.12.2020 17:30:00     0.208    11.540
    28.3114  -96.4250     05.12.2020 17:40:00     0.207    11.540
    28.3114  -96.4250     05.12.2020 17:50:00     0.205    11.540
    28.3114  -96.4250     05.12.2020 18:00:00     0.204    11.540
    28.3114  -96.4250     05.12.2020 18:10:00     0.202    11.540
    28.3114  -96.4250     05.12.2020 18:20:00     0.199    11.540
    28.3114  -96.4250     05.12.2020 18:30:00     0.197    11.540
    28.3114  -96.4250     05.12.2020 18:40:00     0.194    11.540
    28.3114  -96.4250     05.12.2020 18:50:00     0.191    11.540
    28.3114  -96.4250     05.12.2020 19:00:00     0.188    11.540
    28.3114  -96.4250     05.12.2020 19:10:00     0.184    11.540
    28.3114  -96.4250     05.12.2020 19:20:00     0.181    11.540
    28.3114  -96.4250     05.12.2020 19:30:00     0.177    11.540
    28.3114  -96.4250     05.12.2020 19:40:00     0.174    11.540
    28.3114  -96.4250     05.12.2020 19:50:00     0.170    11.540
    28.3114  -96.4250     05.12.2020 20:00:00     0.166    11.540
    28.3114  -96.4250     05.12.2020 20:10:00     0.162    11.540
    28.3114  -96.4250     05.12.2020 20:20:00     0.158    11.540
    28.3114  -96.4250     05.12.2020 20:30:00     0.154    11.540
    28.3114  -96.4250     05.12.2020 20:40:00     0.150    11.540
    28.3114  -96.4250     05.12.2020 20:50:00     0.146    11.540
    28.3114  -96.4250     05.12.2020 21:00:00     0.142    11.540
    28.3114  -96.4250     05.12.2020 21:10:00     0.138    11.540
    28.3114  -96.4250     05.12.2020 21:20:00     0.135    11.540
    28.3114  -96.4250     05.12.2020 21:30:00     0.131    11.540
    28.3114  -96.4250     05.12.2020 21:40:00     0.127    11.540
    28.3114  -96.4250     05.12.2020 21:50:00     0.123    11.540
    28.3114  -96.4250     05.12.2020 22:00:00     0.119    11.540
    28.3114  -96.4250     05.12.2020 22:10:00     0.115    11.540
    28.3114  -96.4250     05.12.2020 22:20:00     0.111    11.540
    28.3114  -96.4250     05.12.2020 22:30:00     0.106    11.540
    28.3114  -96.4250     05.12.2020 22:40:00     0.102    11.540
    28.3114  -96.4250     05.12.2020 22:50:00     0.098    11.540
    28.3114  -96.4250     05.12.2020 23:00:00     0.093    11.540
    28.3114  -96.4250     05.12.2020 23:10:00     0.088    11.540
    28.3114  -96.4250     05.12.2020 23:20:00     0.083    11.540
    28.3114  -96.4250     05.12.2020 23:30:00     0.078    11.540
    28.3114  -96.4250     05.12.2020 23:40:00     0.073    11.540
    28.3114  -96.4250     05.12.2020 23:50:00     0.067    11.540
    28.3114  -96.4250     05.13.2020 00:00:00     0.061    11.540
    28.3114  -96.4250     05.13.2020 00:10:00     0.054    11.540
    28.3114  -96.4250     05.13.2020 00:20:00     0.048    11.540
    28.3114  -96.4250     05.13.2020 00:30:00     0.040    11.540
    28.3114  -96.4250     05.13.2020 00:40:00     0.033    11.540
    28.3114  -96.4250     05.13.2020 00:50:00     0.025    11.540
    28.3114  -96.4250     05.13.2020 01:00:00     0.017    11.540
    28.3114  -96.4250     05.13.2020 01:10:00     0.008    11.540
    28.3114  -96.4250     05.13.2020 01:20:00    -0.001    11.540
    28.3114  -96.4250     05.13.2020 01:30:00    -0.010    11.540
    28.3114  -96.4250     05.13.2020 01:40:00    -0.019    11.540
    28.3114  -96.4250     05.13.2020 01:50:00    -0.029    11.540
    28.3114  -96.4250     05.13.2020 02:00:00    -0.039    11.540
    28.3114  -96.4250     05.13.2020 02:10:00    -0.049    11.540
    28.3114  -96.4250     05.13.2020 02:20:00    -0.060    11.540
    28.3114  -96.4250     05.13.2020 02:30:00    -0.070    11.540
    28.3114  -96.4250     05.13.2020 02:40:00    -0.081    11.540
    28.3114  -96.4250     05.13.2020 02:50:00    -0.092    11.540
    28.3114  -96.4250     05.13.2020 03:00:00    -0.102    11.540
    28.3114  -96.4250     05.13.2020 03:10:00    -0.113    11.540
    28.3114  -96.4250     05.13.2020 03:20:00    -0.123    11.540
    28.3114  -96.4250     05.13.2020 03:30:00    -0.134    11.540
    28.3114  -96.4250     05.13.2020 03:40:00    -0.144    11.540
    28.3114  -96.4250     05.13.2020 03:50:00    -0.154    11.540
    28.3114  -96.4250     05.13.2020 04:00:00    -0.164    11.540
    28.3114  -96.4250     05.13.2020 04:10:00    -0.173    11.540
    28.3114  -96.4250     05.13.2020 04:20:00    -0.183    11.540
    28.3114  -96.4250     05.13.2020 04:30:00    -0.191    11.540
    28.3114  -96.4250     05.13.2020 04:40:00    -0.200    11.540
    28.3114  -96.4250     05.13.2020 04:50:00    -0.208    11.540
    28.3114  -96.4250     05.13.2020 05:00:00    -0.216    11.540
    28.3114  -96.4250     05.13.2020 05:10:00    -0.223    11.540
    28.3114  -96.4250     05.13.2020 05:20:00    -0.230    11.540
    28.3114  -96.4250     05.13.2020 05:30:00    -0.236    11.540
    28.3114  -96.4250     05.13.2020 05:40:00    -0.242    11.540
    28.3114  -96.4250     05.13.2020 05:50:00    -0.247    11.540
    28.3114  -96.4250     05.13.2020 06:00:00    -0.252    11.540
    28.3114  -96.4250     05.13.2020 06:10:00    -0.257    11.540
    28.3114  -96.4250     05.13.2020 06:20:00    -0.260    11.540
    28.3114  -96.4250     05.13.2020 06:30:00    -0.264    11.540
    28.3114  -96.4250     05.13.2020 06:40:00    -0.266    11.540
    28.3114  -96.4250     05.13.2020 06:50:00    -0.268    11.540
    28.3114  -96.4250     05.13.2020 07:00:00    -0.270    11.540
    28.3114  -96.4250     05.13.2020 07:10:00    -0.271    11.540
    28.3114  -96.4250     05.13.2020 07:20:00    -0.271    11.540
    28.3114  -96.4250     05.13.2020 07:30:00    -0.271    11.540
