NIDID,Office,gage,gagedFlowl,NHDWaterbo,lakeLink,RFC,Reviewer,Status,Corrected_,Comments
TN03701,LRN,JPPT1-J_PERCY_PRIEST.Flow.Ave.1Hour.1Hour.man-rev,18401827,120052688,18401827,OHRFC,GID 2, ,18401827,Redundant gage removed by SK. Redundant gages with JHPHT1-J_PERCY_PRIEST
KY03030,LRH,Grayson-Outflow.Flow.Inst.1Hour.0.OBS,1936384,120052749,1936720,OHRFC,MC, ,0, 
AZ10312,SPL,Parker DS-Colorado R.Flow.Inst.15Minutes.0.GOES-rev,9998136,120052758,21439479,CBRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 09427520
KS00021,NWDM,GLEL.Flow-Out.Ave.1Day.1Day.Best-NWK,3537261,120052972,3537261,MBRFC,KMS, ,3537261,Moved to lake outlet. There is a DA gage 2 flowlines downstream
ND00309,MVP,Baldhill_Dam.Flow-Out.Inst.15Minutes.0.rev,26873869,120052979,14270822,NCRFC,MC, ,0,DA gage is one flowline downstream
TX00008,SWF,LEWT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,1278690,120053021,1278674,WGRFC,MC, ,0,DA gage three flowlines downstream
TX00010,SWF,PCTT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,2569756,120053201,2569848,WGRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 08099500
TX00017,SWF,WTYT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,5513700,120053204,5513692,WGRFC,MC, ,0,DA gage four flowlines downstream
PREW3,MVP,PREW3.Flow.Inst.15Minutes.0.comp,2651896,120053219,2651896,NCRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 05344490
IA00016,NWDM,RATN.Flow-Out.Ave.1Day.1Day.Best-NWK,940280012,120053324,940280011,MBRFC,KMS, ,0,There is a DA gage on the next downstream flowline
TX00014,SWF,STIT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,5587560,120053388,5587560,WGRFC,KMS, ,0,There is a DA gage on the next downstream flowline
TX01087,SWF,MSDT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,5781955,120053393,5781955,WGRFC,MC, ,5781955,Moved to lake outlet from interior flowline
PA00005,NAB,Sayers.Flow-Reg.Inst.1Hour.0.computed outflow,8139718,120053440,8139718,MARFC,KMS, ,0,There is a DA gage on the next downstream flowline
VA005001,NAO,Gathright DS.Flow.Inst.0.0.DCP-rev,8521381,120053459,8523459,MARFC,MC, ,0,Snapped to DA gage flowline. Gage ID 02011800
CA10192,SPK,TRK STP-Stampede-Little Truckee R.Flow-Res Out.Ave.~1Day.1Day.MANUAL,8933230,120053476,8934442,CNRFC,SK, ,0,Moved to lake outlet. Good lake assoc.
ND00146,NWDM,PIST.Flow-Out.Ave.~1Day.1Day.Best-NWO,11505172,120053541,11505172,MBRFC,KMS, ,0, 
SD01093,NWDM,FTRA.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,11550820,120053557,11550820,MBRFC,KMS, ,11550820,Moved to lake outlet. Correct lake association.
SC00529,SAS,Jocassee.Flow.Ave.1Hour.1Hour.Rev-SHEF_SAS,11748743,120053566,11749815,SERFC,KMS, ,0, 
MO30202,SWL,Table_Rock_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,7625336,120053569,8586112,LMRFC,KMS, ,0, 
ND00151,NWDM,JATO.Flow-Out.Ave.~1Day.1Day.Best-NWO,12577680,120053643,12577680,MBRFC,KMS, ,0, 
CA10154,SPK,SJR MIL-Friant Dam-San Joaquin R.Flow-Res Out.Ave.~1Day.1Day.Calc-usbr,17116483,120053836,17116483,CNRFC,SK, ,0,There is a DA gage on the 6th downstream flowline
ID00288,NWDP,LUC.Flow-Out.Ave.~1Day.1Day.USBR-RAW,23382135,120053990,23382135,NWRFC,AM, ,0, 
ID00283,NWDP,CSCI.Flow.Ave.~1Day.1Day.USBR-COMPUTED-REV,24177101,120054056,24177561,NWRFC,KMS, ,0, 
CO02677,NWDM,SMCL.Flow.Inst.1Hour.0.Raw-NWDM-Backup,5241186,127819344,940190123,MBRFC,KMS, ,0, 
NH00003,NAE,FFD.Flow.Inst.15Minutes.0.DCP-rev,166174264,166174267,166174264,NERFC,MC, ,166174264,Linked to interior flowline. Changed to lake outflow
TX06194,SWF,ALAT2.Flow-Out.Inst.1Hour.0.Rev-SWF-REGI,166414852,166414857,166414852,WGRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 08093360
NC01713,SAW,NEU FLP.Flow-Out.Inst.1Hour.0.DSS,166737579,166737717,166737584,SERFC,MC, ,0,Snapped to DA gage flowline. Gage ID 02087183
NC00173,SAW,CFR BEJ.Flow-Out.Inst.1Hour.0.DSS,26325148,166755060,8898132,SERFC,AM, ,0,"DA Gage on next downstream link. Not marked as inflow or outflow, so questionable"
GA00820,SAM,WestPoint.Flow-Out.Inst.15Minutes.0.Rev-CCP,3298918,166758703,3298566,SERFC,AM, ,0, 
AL01432,SAM,WalterFGeorge.Flow-Out.Ave.1Hour.1Hour.Raw-SCADA_SAM,3443790,166758723,3443790,SERFC,AM, ,0,DA gage one flowline downstream
AL01420,SAM,Smith.Flow-Out.Inst.1Hour.0.Raw-APCO,18581863,166759211,18584047,SERFC,AM, ,0, 
AL01426,SAM,Holt.Flow-Out.Inst.1Hour.0.Raw-APCO,18232675,166759236,18232675,SERFC,AM, ,0, 
MS01491,SAM,Okatibbee-Spillway.Flow-Discharge.Inst.15Minutes.0.Raw-CCP,18193961,166759324,18195393,LMRFC,KMS, ,0, 
GA01702,SAS,Hartwell.Flow-Out.Ave.1Hour.1Hour.Raw-SCADA_SAS,11737635,166759840,6270218,SERFC,KMS, ,0, 
KY03055,LRL,CaveRun.Flow-Outflow.Inst.0.0.lrldlb-comp,2091969,166830448,2091969,OHRFC,GID 2, ,0, 
OH00007,LRH,Dillon-Outflow.Flow.Inst.1Hour.0.OBS,15365719,166899180,15365765,OHRFC,GID 2, ,0, 
IN03017,LRL,Brookville.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp,3925161,166899200,3925161,OHRFC,GID 2, ,0, 
OH00929,LRL,WHHarsha.Flow-Outflow.Inst.0.0.lrldlb-comp,3936190,166899203,3936190,OHRFC,GID 2, ,0,Linked to interior flowline.
OH00927,LRL,CaesarCreek.Flow-Outflow.Inst.0.0.lrldlb-comp,3935906,166899204,3935906,OHRFC,GID 2, ,3935906, 
IN03001,LRL,Monroe.Flow-Outflow.Inst.0.0.lrldlb-comp,18444024,166899251,18447480,OHRFC,GID 2, ,0, 
KY03046,LRN,LAPK2-LAUREL.Flow.Ave.1Hour.1Hour.man-rev,10190256,166899298,10191966,OHRFC,GID 2, ,0, 
KY03010,LRN,RWNK2-WOLF_CREEK.Flow.Ave.1Hour.1Hour.man-rev,3577500,166899300,3577512,OHRFC,KMS, ,0,Redundant gage removed by SK. Redundant with WLCK2-WOLF_Creek
TN02702,LRN,DLHT1-DALE_HOLLOW.Flow.Ave.1Hour.1Hour.man-rev,10184623,166899333,10184625,OHRFC,GID 2, ,0, 
KY03001,LRN,BARK2-BARKLEY.Flow.Ave.1Hour.1Hour.man-rev,11878940,166899385,11878948,LMRFC,KMS, ,0,Redundant with another gage just upstream (BAHK2)
MN00583,MVP,MissHW_Sandy.Flow-Out.Inst.~1Day.0.CEMVP-Legacy,4841534,167120397,4841848,NCRFC,MC, ,0, 
IA00013,MVR,PELI4.Flow-Out.Inst.30Minutes.0.rev,4995175,167121028,22249819,NCRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 05488110
MN00586,MVP,MissHW_Winni.Flow-Out.Inst.~1Day.0.CEMVP-Legacy,22328037,167122141,22328037,NCRFC,KMS, ,0, 
MN00169,MVP,ORTM5.Flow.Inst.15Minutes.0.rev,4084418,167122203,4085926,NCRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 05292000
IL00118,MVS,Lk Shelbyville-Kaskaskia.Flow-Out.Ave.~1Day.1Day.lakerep-rev,13772418,167122256,13772400,NCRFC,MC, ,0,Redundant site removed by SK. Redundant with another point downstream. DA gage is two flowlines downstream
IL00113,MVS,Carlyle Lk-Kaskaskia.Flow-Out.Ave.~1Day.1Day.lakerep-rev,13871378,167122265,13876230,NCRFC,MC, ,0,This is total outflow compared with CWMS timeseries_SK. Redundant site is marked by SK and will be removed. There is a DA gage 2 flowlines downstream. Redundant with some other gages
TN04102,LRN,CETT1-CENTER_HILL.Flow.Ave.1Hour.1Hour.man-rev,18434275,167122309,18434275,OHRFC,GID 2, ,0, 
IL00117,MVS,Rend Lk-Big Muddy.Flow-Out.Ave.~1Day.1Day.lakerep-rev,13779254,167156996,13779550,NCRFC,MC, ,0, 
MS01495,MVK,Enid Lake.Flow.Inst.1Hour.0.Total Gate Flow,15276792,167166404,15276792,LMRFC,KMS, ,0, 
MS01493,MVK,Sardis Lake.Flow.Inst.1Hour.0.Total Gate Flow,15290344,167182317,15290344,LMRFC,KMS, ,0, 
MN00573,MVP,RedLake.Flow-Out.Inst.15Minutes.0.rev,7043255,167201419,22194346,NCRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 05074500
MT00568,NWDM,CAFE.Flow-Out.Ave.1Day.1Day.Raw-USBR,3024978,167204871,3024978,MBRFC,KMS, ,0, 
MT00025,NWDM,FTPK.Flow-Out.Ave.~1Day.1Day.Best-MRBWM,12461756,167204901,940040008,MBRFC,KMS, ,0, 
MT00576,NWDM,YETL.Flow-Out.Ave.1Day.1Day.Raw-USBR,12801362,167204997,12801364,MBRFC,KMS, ,0,There is a DA gage 2 flowlines downstream
WY01297,NWDM,SEMR.Flow-Out.Ave.1Day.1Day.Raw-USBR,15976386,167245825,15976386,MBRFC,KMS, ,0,Moved to lake outlet
CO00351,NWDM,ATCO.Flow-Out.Ave.1Day.0.Raw-CODWR,5242018,167246015,5242018,MBRFC,KMS, ,0,Poor gage placement. Adjusted to correct location
KS00024,NWDM,NORN.Flow-Out.Ave.1Day.1Day.Best-NWK,8367756,167266511,8367756,MBRFC,KMS, ,8367756,Moved to lake outlet. Correct lake association.
KS00005,NWDM,KANS.Flow-Out.Ave.1Day.1Day.Best-NWK,25068602,167266519,25068602,MBRFC,MC, ,0,DA gage one flowline downstream
MO30200,NWDM,STON.Flow-Out.Ave.1Day.1Day.Best-NWK,7372051,167267899,7373063,MBRFC,KMS, ,0, 
KS00004,SWT,JOHN.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,20932440,167297255,20932366,ABRFC,LKR, ,0, 
AR00174,SWL,Beaver_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,8589764,167299813,8589608,LMRFC,KMS, ,0, 
AR00160,SWL,Bull_Shoals_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,7637444,167299818,7637444,LMRFC,KMS, ,7637444,Moved to lake outlet. Good lake assoc.
AR00173,SWL,GreersFerry_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,11774999,167299819,11774971,LMRFC,KMS, ,0, 
OK10310,SWT,OOLO.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,833360,167299904,21799057,ABRFC,KMS, ,0, 
OK00135,SWT,PENS.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,7586119,167299912,7586119,ABRFC,LKR, ,0, 
OK10314,SWT,FGIB.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,21773859,167299918,21773859,ABRFC,MC, ,0, 
OK20502,SWT,TOMS.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,562485,167300241,562485,ABRFC,MC, ,0, 
OK10317,SWT,DENI.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,426416,167300255,426416,ABRFC,LKR, ,0,gaged flowline directly downstream; Lake Texoma
OK02501,SWT,ARBU.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,19959986,167300271,19959986,ABRFC,KMS, ,19959986,link is inside WB. FlowlineID 19959986 is the outlet link.  Also cant find in A2W.
AR00536,SWL,Millwood_Dam-Tailwater.Flow.Inst.1Hour.0.CCP-Comp,3747834,167300345,3747820,ABRFC,MC, ,0, 
LA00181,MVK,Caddo Lake.Flow.Inst.1Hour.0.DCP-rev,1016769,167300381,1016769,LMRFC,KMS, ,0,Moved the gage to lake outflow
GA01701,SAS,Thurmond.Flow-Out.Ave.1Hour.1Hour.Raw-SCADA_SAS,22720897,167484077,6290331,SERFC,AM, ,0, 
OH00019,LRH,Mohicanville-Outflow.Flow.Inst.1Hour.0.OBS,167484497,167484552,167484498,OHRFC,GID 2, ,0, 
OH00016,LRH,Mohawk-Outflow.Flow.Inst.1Hour.0.OBS,167484595,167484603,167484595,OHRFC,GID 2, ,0,Linked to interior flowline.
OK22194,SWT,MCGE.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,167484717,167484743,167484717,ABRFC,KMS, ,0, 
VA117001,SAW,ROA JHK.Flow-Out.Inst.1Hour.0.DSS,8653306,167496465,8653306,SERFC,KMS, ,0, 
NE01048,NWDM,LAMC.Flow-Out.Ave.~1Day.1Day.Raw-CNPPID,17462840,167794979,17462840,MBRFC,KMS, ,0,Moved upstream to the lake outflow
KS00008,NWDM,MILD.Flow-Out.Ave.1Day.1Day.Best-NWK,5927298,167800866,5927296,MBRFC,MC, ,0,DA gage five flowlines downstream
OK10308,SWT,EUFA.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,512899,167801019,512899,ABRFC,LKR, ,0,Eufaula Lake
OK10301,SWT,ROBE.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,1543609,167801029,1543627,ABRFC,LKR, ,0, 
MO82201,MVS,Mark Twain Lk-Salt.Flow-Out.Ave.~1Day.1Day.lakerep-rev,4867723,937110111,4867727,NCRFC,MC, ,0,DA gage 7 flowlines downstream
OK22200,SWT,SKIA.Flow-Res Out.Ave.1Hour.1Hour.Rev-Regi-Flowgroup,941070051,941070128,941070050,ABRFC,LKR, ,0,Skiatook Lake
PortHuron,LRE,PortHuron.Flow.Inst.0.0.shef-raw,13196034,4800004,13196034,NCRFC,MC, ,0,Snapped to DA gage flowline. Gage ID 04159130
